Percentage Depth Doses,,,,
Wedge 45,,,,
SSD=80cm,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,40x20cm2
0,25.4,34.8,53.2,64.3
0.1,29.2,38.4,57.2,67.85
0.2,35.4,44.82,62.45,73
0.3,44.6,52.6,69.7,78.52000000000001
0.4,52.2,60.2,75.19999999999999,83.66
0.5,59.45,66.65,80.3,87.53333333333333
0.6,65.6,71.9,84.46666666666667,90.5
0.7,70.75,76.56666666666668,87.6,93
0.8,75.3,80.5,90.3,94.9
0.9,79.06,83.5375,92.5,96.35
1,82.05,86.35,94.15714285714286,97.5
1.1,85.125,88.7625,95.60000000000001,98.35
1.2,87.47500000000001,90.77499999999999,96.77142857142857,98.95
1.3,89.7,92.4875,97.675,99.45
1.4,91.5,93.9875,98.425,99.775
1.5,93.27499999999999,95.25555555555556,98.95,99.95
1.6,94.575,96.25,99.45,100
1.7,95.7,97.075,99.72,100
1.8,96.575,97.88571428571429,99.9,99.96666666666667
1.9,97.63333333333334,98.58571428571429,99.92,99.8
2,98.33333333333334,98.92500000000001,100,99.64
2.1,98.8,99.35000000000001,99.98,99.4
2.2,99.11999999999999,99.66,99.85,99.15
2.3,99.46000000000001,99.9,99.73333333333333,98.9
2.4,99.7,99.975,99.57499999999999,98.48
2.5,99.8,100,99.325,98.1
2.6,99.9,100,99.07499999999999,97.8
2.7,100,100,98.8,97.4
2.8,100,99.91428571428573,98.53999999999999,97
2.9,99.93333333333334,99.85,98.23333333333333,96.68571428571428
3,99.875,99.7,97.9,96.34
3.1,99.55,99.45,97.55,95.95
3.2,99.375,99.2,97.2,95.45
3.3,99.125,98.95,96.82000000000001,95.16666666666667
3.4,98.95,98.64999999999999,96.45,94.8
3.5,98.57142857142857,98.375,96.02,94.35
3.6,98.35000000000001,98.05,95.69999999999999,93.9
3.7,97.95,97.78,95.325,93.5
3.8,97.7,97.5,94.95,93.05
3.9,97.28,97.1,94.53333333333333,92.65714285714286
4,96.8,96.75,94.05,92.34
4.1,96.43333333333334,96.3,93.72500000000001,91.95
4.2,96.03333333333333,95.875,93.3,91.55
4.3,95.65,95.6,92.875,91.13333333333334
4.4,95.2,95.10000000000001,92.5,90.8
4.5,94.75,94.675,92.16666666666666,90.36666666666667
4.6,94.35,94.44,91.66666666666667,89.92
4.7,93.94285714285714,94,91.27499999999999,89.58
4.8,93.3,93.6,90.95,89.1
4.9,93,93.2,90.54,88.875
5,92.66,92.65,90.2,88.43333333333334
5.1,92.17999999999999,92.3,89.65,88.025
5.2,91.675,91.88,89.28,87.65
5.3,91.325,91.5,88.9,87.325
5.4,90.65,91,88.58,86.80000000000001
5.5,90.25,90.6,88.2,86.4
5.6,89.9,90.25,87.72,86.05
5.7,89.4,89.8,87.42500000000001,85.7
5.8,89.11999999999999,89.35,86.975,85.35000000000001
5.9,88.56,89,86.625,84.95
6,88.14999999999999,88.63333333333334,86.26666666666667,84.57499999999999
6.1,87.625,88.15,85.96666666666667,84.22500000000001
6.2,87.22500000000001,87.825,85.5,83.83333333333333
6.3,86.85000000000001,87.35000000000001,85.2,83.5
6.4,86.35,86.95,84.7,83.2
6.5,85.9,86.55,84.4,82.80000000000001
6.6,85.44999999999999,86.13333333333334,84.05,82.45
6.7,85,85.8,83.66666666666667,82.125
6.8,84.69999999999999,85.46666666666667,83.2,81.75
6.9,84.2,84.95,82.85,81.35
7,83.78571428571429,84.52499999999999,82.55,80.975
7.1,83.43333333333334,84.2,82.2,80.63749999999999
7.2,83.06666666666666,83.75,81.8,80.27499999999999
7.3,82.65,83.4,81.4,80
7.4,82.175,83,81.1,79.65
7.5,81.62,82.6,80.76666666666667,79.35
7.6,81.225,82.35000000000001,80.4,79
7.7,80.95,81.83333333333333,80.1,78.66
7.8,80.45,81.4,79.825,78.25
7.9,80.15,81.06,79.375,77.95
8,79.68,80.6,79.08,77.625
8.1,79.28,80.35000000000001,78.66000000000001,77.275
8.2,78.9,79.85,78.3,76.88
8.3,78.45,79.5,78.02,76.6
8.4,78.1,79.25,77.64999999999999,76.25
8.5,77.66,78.75,77.25,75.9
8.6,77.325,78.4625,76.85,75.55
8.7,76.97500000000001,78.08,76.6,75.33999999999999
8.8,76.55,77.7,76.35,74.925
8.9,76.03999999999999,77.35,75.9,74.65
9,75.6,77,75.56666666666666,74.25
9.1,75.3,76.7,75.2,73.97500000000001
9.2,74.85,76.25,74.80000000000001,73.69999999999999
9.3,74.4,75.9,74.6,73.3
9.4,74.15,75.5,74.175,73.05
9.5,73.7,75.22,73.925,72.7
9.6,73.36666666666667,74.75,73.575,72.325
9.7,73,74.375,73.225,72.05
9.8,72.5,74.05,72.85000000000001,71.76
9.9,72.2,73.675,72.52499999999999,71.44999999999999
10,71.8,73.325,72.2,71.075
10.1,71.47500000000001,72.98,71.95,70.78750000000001
10.2,71.14999999999999,72.65,71.6,70.475
10.3,70.775,72.225,71.25,70.13749999999999
10.4,70.425,71.9,70.92,69.78
10.5,69.96666666666667,71.64999999999999,70.65,69.47500000000001
10.6,69.75,71.25,70.3,69.15
10.7,69.375,70.85714285714286,69.96000000000001,68.9
10.8,69.02499999999999,70.62222222222222,69.6,68.575
10.9,68.675,70.25,69.35,68.3
11,68.35,69.88000000000001,69.03999999999999,67.97500000000001
11.1,67.95,69.58,68.775,67.7
11.2,67.64,69.24285714285715,68.45,67.47500000000001
11.3,67.2,68.96000000000001,68.15,67.125
11.4,66.9,68.6,67.825,66.85
11.5,66.6,68.3,67.47500000000001,66.6
11.6,66.05,68,67.24,66.25
11.7,65.9,67.6,66.9,65.925
11.8,65.6,67.25,66.63333333333333,65.575
11.9,65.325,66.875,66.26666666666667,65.325
12,64.94999999999999,66.625,66.02499999999999,65.075
12.1,64.5,66.36000000000001,65.68,64.825
12.2,64.35,66.05,65.45,64.575
12.3,63.959999999999994,65.7,65.1,64.28
12.4,63.650000000000006,65.35,64.95,63.94
12.5,63.25,65,64.6,63.7
12.6,62.975,64.75,64.275,63.36666666666667
12.7,62.65,64.5,64.075,63.03333333333333
12.8,62.375,64.15,63.68333333333334,62.8
12.9,62.03333333333333,63.824999999999996,63.46666666666667,62.54
13,61.8,63.5625,63.175000000000004,62.3
13.1,61.4,63.224999999999994,62.94285714285714,62.05
13.2,61.150000000000006,62.93333333333333,62.612500000000004,61.8
13.3,60.7,62.65,62.3,61.5
13.4,60.4,62.3,61.95,61.239999999999995
13.5,60.2,62.050000000000004,61.7,61.019999999999996
13.6,59.9,61.81111111111111,61.5,60.675000000000004
13.7,59.56666666666667,61.575,61.175,60.4
13.8,59.25,61.237500000000004,60.9,60.125
13.9,58.875,60.875,60.725,59.86666666666667
14,58.75,60.5875,60.46,59.6
14.1,58.324999999999996,60.275000000000006,60.128571428571426,59.3
14.2,58.08571428571429,60.025,59.88333333333333,59.1
14.3,57.779999999999994,59.77142857142857,59.675000000000004,58.83333333333333
14.4,57.525,59.5,59.3375,58.55
14.5,57.125,59.150000000000006,59.075,58.33333333333333
14.6,56.9,58.9,58.8,58.1
14.7,56.7,58.66666666666667,58.48571428571429,57.8
14.8,56.3375,58.3,58.225,57.6
14.9,55.96,58,57.980000000000004,57.349999999999994
15,55.74285714285714,57.720000000000006,57.675,57.019999999999996
15.1,55.475,57.4,57.43333333333334,56.8
15.2,55.2,57.175000000000004,57.15,56.475
15.3,54.849999999999994,56.849999999999994,56.9,56.3
15.4,54.6,56.6,56.7,56.050000000000004
15.5,54.36666666666667,56.349999999999994,56.45,55.8
15.6,54.025,56.1,56.175000000000004,55.55
15.7,53.775,55.8,55.925,55.275
15.8,53.525,55.6,55.7,55.025
15.9,53.25,55.35,55.45,54.8
16,53,55.06666666666666,55.2,54.55
16.1,52.775,54.82000000000001,54.95,54.4
16.2,52.5,54.6,54.75,54.2
16.3,52.3,54.339999999999996,54.475,53.85
16.4,51.839999999999996,54.025,54.225,53.675000000000004
16.5,51.7,53.775000000000006,53.975,53.43333333333333
16.6,51.45,53.480000000000004,53.824999999999996,53.25
16.7,51.1,53.25,53.5,53
16.8,50.919999999999995,53,53.3,52.75
16.9,50.7,52.7,53.05,52.5
17,50.38,52.5,52.8,52.375
17.1,50.125,52.275,52.55,52.125
17.2,49.9,52,52.3,51.85
17.3,49.55,51.75,52.1,51.625
17.4,49.4,51.5,51.91428571428571,51.31250000000001
17.5,49.2,51.25,51.660000000000004,51.12222222222222
17.6,49,51,51.419999999999995,51
17.7,48.7,50.8,51.2,50.75
17.8,48.5,50.625,50.925,50.5
17.9,48.275,50.3,50.775,50.3
18,47.919999999999995,50.050000000000004,50.54,50.1
18.1,47.775,49.849999999999994,50.3,49.824999999999996
18.2,47.525,49.65,50.05,49.6
18.3,47.275,49.42222222222222,49.8,49.349999999999994
18.4,47.1,49.125,49.660000000000004,49.1
18.5,46.775,48.925,49.425,48.95
18.6,46.525,48.68000000000001,49.175000000000004,48.7
18.7,46.33333333333333,48.45,48.95,48.5
18.8,46.05,48.2,48.8,48.2
18.9,45.775,47.975,48.55,48.05
19,45.6,47.725,48.3,47.8
19.1,45.3,47.575,48.05,47.650000000000006
19.2,45.150000000000006,47.324999999999996,47.9,47.5
19.3,44.9,47.1,47.660000000000004,47.275
19.4,44.7,46.849999999999994,47.425,47.025
19.5,44.4375,46.7,47.175000000000004,46.9
19.6,44.275,46.45,46.94,46.7
19.7,44.04,46.2,46.8,46.5
19.8,43.83333333333333,45.96,46.55,46.25
19.9,43.6,45.725,46.4,46
20,43.4,45.475,46.150000000000006,45.85
20.1,43.2,45.3,46.025,45.65555555555556
20.2,43,45.1,45.7,45.475
20.3,42.8,44.925,45.575,45.225
20.4,42.56666666666667,44.675000000000004,45.324999999999996,44.9875
20.5,42.3,44.5,45.175000000000004,44.8625
20.6,42.125,44.175000000000004,45,44.675000000000004
20.7,41.9,44.025,44.775,44.44444444444444
20.8,41.7,43.875,44.525,44.3
20.9,41.5,43.675000000000004,44.4,44.05
21,41.2,43.425,44.166666666666664,43.8
21.1,41.160000000000004,43.3,43.980000000000004,43.650000000000006
21.2,40.93333333333333,43.05,43.849999999999994,43.5
21.3,40.7,42.81999999999999,43.6,43.324999999999996
21.4,40.62,42.66666666666667,43.4,43.150000000000006
21.5,40.3,42.475,43.2,42.925
21.6,40.2,42.2,43.05,42.775
21.7,40,42,42.78,42.575
21.8,39.725,41.824999999999996,42.650000000000006,42.45
21.9,39.5,41.575,42.4,42.25
22,39.339999999999996,41.425,42.25,42.1
22.1,39.2,41.275,42.1,41.86
22.2,38.95,41.075,41.95,41.7
22.3,38.8,40.9,41.75,41.475
22.4,38.580000000000005,40.7,41.5,41.349999999999994
22.5,38.4,40.5,41.33333333333333,41.125
22.6,38.2,40.3,41.2,41
22.7,38.025,40.125,41,40.733333333333334
22.8,37.9,39.9,40.8,40.6
22.9,37.7,39.8,40.62,40.45
23,37.525,39.519999999999996,40.5,40.2
23.1,37.3,39.4,40.33333333333333,40.1
23.2,37.125,39.225,40.1,39.9
23.3,36.887499999999996,38.975,39.925,39.75
23.4,36.8,38.762499999999996,39.8,39.5
23.5,36.55,38.6375,39.575,39.349999999999994
23.6,36.349999999999994,38.425,39.41111111111111,39.2
23.7,36.1875,38.275,39.175000000000004,39.1
23.8,36.025,38.025,39,38.849999999999994
23.9,35.84444444444444,37.9,38.875,38.7
24,35.725,37.725,38.7,38.56666666666667
24.1,35.6,37.575,38.6,38.4
24.2,35.35,37.4,38.349999999999994,38.275
24.3,35.150000000000006,37.2,38.2,38.025
24.4,35.025,37.025,38,37.9
24.5,34.9,36.88,37.9,37.75
24.6,34.766666666666666,36.7,37.7,37.6
24.7,34.55,36.5,37.55,37.4
24.8,34.36666666666666,36.4,37.4,37.2
24.9,34.2,36.25,37.2,37.1
25,34.075,36.1,37.1,36.95
25.1,33.9,35.9,36.9,36.8
25.2,33.660000000000004,35.650000000000006,36.66666666666667,36.614285714285714
25.3,33.5,35.5,36.5,36.483333333333334
25.4,33.3,35.3,36.4,36.28
25.5,33.25,35.125,36.25,36.1
25.6,33,35,36.03333333333333,36
25.7,32.9,34.825,35.9,35.8
25.8,32.7,34.7,35.760000000000005,35.7
25.9,32.6,34.55,35.6,35.5
26,32.5,34.4,35.5,35.4
26.1,32.37499999999999,34.225,35.31666666666667,35.3
26.2,32.2,34.1,35.175,35.1
26.3,31.974999999999994,33.95,34.925000000000004,34.925
26.4,31.8,33.75,34.87499999999999,34.8
26.5,31.7,33.675,34.72500000000001,34.6
26.6,31.55,33.5,34.55,34.48571428571428
26.7,31.4,33.279999999999994,34.349999999999994,34.32
26.8,31.25,33.150000000000006,34.212500000000006,34.18
26.9,31.1,33,34.0875,34.05
27,30.96,32.849999999999994,33.9625,33.86666666666666
27.1,30.825000000000003,32.7,33.775000000000006,33.7
27.2,30.674999999999997,32.5,33.612500000000004,33.6
27.3,30.525000000000006,32.4,33.5,33.425000000000004
27.4,30.3,32.25,33.3,33.3
27.5,30.275,32.1,33.2,33.2
27.6,30.025000000000006,31.974999999999994,33.1,33
27.7,29.9,31.85,32.849999999999994,32.9
27.8,29.8,31.7,32.8,32.8
27.9,29.674999999999997,31.5,32.6,32.650000000000006
28,29.425000000000004,31.325000000000003,32.5,32.5
28.1,29.3,31.174999999999997,32.3,32.349999999999994
28.2,29.2,31.025000000000006,32.2,32.2
28.3,29.1,30.9,32.1,32.06
28.4,28.95,30.8,31.9,32
28.5,28.8,30.6,31.8,31.8
28.6,28.7,30.525000000000006,31.65,31.625000000000004
28.7,28.6,30.374999999999996,31.5,31.5
28.8,28.35,30.225,31.3,31.4
28.9,28.25,30.1,31.174999999999997,31.2
29,28.1,29.9,31.1,31.1
29.1,28,29.85,31,31
29.2,27.9,29.7,30.8,30.9
29.3,27.724999999999998,29.55,30.7,30.7
29.4,27.625000000000004,29.4,30.5,30.65
29.5,27.474999999999994,29.25,30.4,30.5
29.6,27.325000000000003,29.2,30.299999999999997,30.35
29.7,27.13333333333334,29,30.125,30.2
29.8,27.1,28.9,30.04,30.05
29.9,26.95,28.733333333333338,29.9,29.9625
30,26.9,28.6,29.8,29.787499999999998
