Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=3cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-25.5,,,,,,,,3.9
-25.4,,,,,,,,4
-25.3,,,,,,,,4.1
-25.2,,,,,,,,4.2
-25.1,,,,,,,,4.3
-25,,,,,,,,4.4
-24.9,,,,,,,,4.55
-24.8,,,,,,,,4.6
-24.7,,,,,,,,4.75
-24.6,,,,,,,,4.875000000000002
-24.5,,,,,,,,5
-24.4,,,,,,,,5.116666666666665
-24.3,,,,,,,,5.283333333333334
-24.2,,,,,,,,5.4
-24.1,,,,,,,,5.514285714285713
-24,,,,,,,,5.7
-23.9,,,,,,,,5.866666666666668
-23.8,,,,,,,,6.033333333333331
-23.7,,,,,,,,6.2
-23.6,,,,,,,,6.4
-23.5,,,,,,,,6.557142857142856
-23.4,,,,,,,,6.724999999999998
-23.3,,,,,,,,6.916666666666666
-23.2,,,,,,,,7.083333333333334
-23.1,,,,,,,,7.300000000000001
-23,,,,,,,,7.575000000000001
-22.9,,,,,,,,7.7
-22.8,,,,,,,,7.942857142857145
-22.7,,,,,,,,8.179999999999996
-22.6,,,,,,,,8.45
-22.5,,,,,,,,8.666666666666664
-22.4,,,,,,,,9
-22.3,,,,,,,,9.260000000000002
-22.2,,,,,,,,9.520000000000005
-22.1,,,,,,,,9.9
-22,,,,,,,,10.325
-21.9,,,,,,,,10.659999999999997
-21.8,,,,,,,,11.159999999999997
-21.7,,,,,,,,11.779999999999994
-21.6,,,,,,,,12.499999999999995
-21.5,,,,,,,,13.35999999999999
-21.4,,,,,,,,14.5
-21.3,,,,,,,,15.866666666666681
-21.2,,,,,,,,17.960000000000026
-21.1,,,,,,,,20.800000000000033
-21,,,,,,,,24.999999999999943
-20.9,,,,,,,,31.59999999999993
-20.8,,,,,,,,40.36666666666658
-20.7,,,,,,,,50.2
-20.6,,,,,,,,60.96666666666658
-20.5,,,,,,,,70.79999999999993
-20.4,,,,,,,4.2,80.15999999999995
-20.3,,,,,,,4.314285714285713,87.6833333333333
-20.2,,,,,,,4.4,93.0166666666667
-20.1,,,,,,,4.5,96.04285714285716
-20,,,,,,,4.6,98.14999999999999
-19.9,,,,,,,4.7,99.56666666666668
-19.8,,,,,,,4.8,100.6
-19.7,,,,,,,4.9,101.4
-19.6,,,,,,,5.033333333333331,102.06
-19.5,,,,,,,5.133333333333332,102.53999999999999
-19.4,,,,,,,5.3,102.96000000000001
-19.3,,,,,,,5.4,103.425
-19.2,,,,,,,5.5,103.76
-19.1,,,,,,,5.65,103.98
-19,,,,,,,5.728571428571428,104.25
-18.9,,,,,,,5.883333333333335,104.35
-18.8,,,,,,,6.05,104.58
-18.7,,,,,,,6.2,104.7
-18.6,,,,,,,6.3,104.8
-18.5,,,,,,,6.5,104.8
-18.4,,,,,,,6.619999999999998,104.9
-18.3,,,,,,,6.75,104.9
-18.2,,,,,,,6.975000000000001,104.8
-18.1,,,,,,,7.1,104.8
-18,,,,,,,7.3,104.8
-17.9,,,,,,,7.483333333333334,104.7
-17.8,,,,,,,7.6800000000000015,104.7
-17.7,,,,,,,7.8,104.7
-17.6,,,,,,,8.016666666666666,104.7
-17.5,,,,,,,8.26666666666667,104.7
-17.4,,,,,,,8.466666666666669,104.7
-17.3,,,,,,,8.73333333333333,104.8
-17.2,,,,,,,8.939999999999998,104.8
-17.1,,,,,,,9.2,104.86666666666667
-17,,,,,,,9.5,104.9
-16.9,,,,,,,9.839999999999998,104.9
-16.8,,,,,,,10.3,105
-16.7,,,,,,,10.7,105.1
-16.6,,,,,,,11.239999999999997,105.1
-16.5,,,,,,,11.833333333333327,105.2
-16.4,,,,,,,12.528571428571432,105.2
-16.3,,,,,,,13.55,105.3
-16.2,,,,,,,14.839999999999986,105.4
-16.1,,,,,,,16.35,105.4
-16,,,,,,,18.599999999999977,105.46666666666667
-15.9,,,,,,,21.8,105.5
-15.8,,,,,,,26.759999999999966,105.5
-15.7,,,,,,,34.21666666666662,105.5
-15.6,,,,,,,43.05000000000004,105.5
-15.5,,,,,,,53.34285714285722,105.5
