Percentage Depth Doses,,,,
Wedge 45,,,,
SSD=120cm,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,40x20cm2
0,23.5,29.6,40.4,47.7
0.1,27.175,33.275,43.949999999999996,51.35
0.2,33.125,39.5,49.425000000000004,56.9
0.3,41.875,47.95,57.099999999999994,63.9
0.4,49.75,54.900000000000006,63.75,69.76666666666667
0.5,56.875,61.475,69.47500000000001,74.6
0.6,62.725,66.56,74.3,78.95
0.7,67.3,71.2,77.92,82.4
0.8,72,75.32857142857144,81.5,85.60000000000001
0.9,75.65,78.9,84.4,88
1,79.2,81.95,86.95,90.4
1.1,81.98,84.6,89,92.1
1.2,84.7,87.1,91,93.75
1.3,86.73333333333333,89,92.6,94.9
1.4,88.8,90.58333333333334,94.1,96
1.5,90.6,92.06,95.2,96.925
1.6,92.27499999999999,93.55714285714286,96.175,97.75
1.7,93.52499999999999,94.66250000000001,97,98.35000000000001
1.8,95.025,95.5375,97.6,98.78571428571429
1.9,95.75,96.5,98.22500000000001,99.16666666666666
2,96.64999999999999,97.11428571428571,98.65,99.43333333333334
2.1,97.10000000000001,97.96,99.125,99.7
2.2,97.86,98.34,99.375,99.9
2.3,98.475,98.84285714285714,99.6,99.96666666666667
2.4,98.76666666666667,99.24,99.77499999999999,100
2.5,99.07142857142857,99.5,99.825,100
2.6,99.6,99.6,99.9,100
2.7,99.725,99.77499999999999,100,99.9
2.8,99.9,99.9,100,99.8125
2.9,99.9625,99.9,99.9,99.65
3,100,100,99.9,99.5125
3.1,100,100,99.8,99.28333333333333
3.2,99.825,99.9,99.6,99.2
3.3,99.71666666666667,99.8,99.4,98.975
3.4,99.6,99.7,99.26,98.725
3.5,99.35,99.5,98.9,98.45714285714286
3.6,99.125,99.3,98.75,98.1
3.7,99,99.16,98.5,97.95
3.8,98.87142857142858,98.85,98.25,97.7
3.9,98.6125,98.6,97.92500000000001,97.46000000000001
4,98.325,98.46000000000001,97.7,97.22500000000001
4.1,98,98.22500000000001,97.525,96.875
4.2,97.67999999999999,97.92500000000001,97.25,96.625
4.3,97.5,97.65,96.92500000000001,96.3
4.4,97.2,97.3,96.57499999999999,95.92500000000001
4.5,96.85,96.98571428571428,96.42500000000001,95.6
4.6,96.525,96.74000000000001,96.03333333333333,95.35
4.7,96.1,96.45,95.7,95
4.8,95.6,96.125,95.36666666666667,94.61111111111111
4.9,95.3,95.85000000000001,95.2,94.3125
5,95.02,95.58,94.95,94.025
5.1,94.7,95.2,94.625,93.86
5.2,94.375,94.85,94.18,93.5
5.3,94,94.4,93.92500000000001,93.2
5.4,93.64999999999999,94.175,93.6,93
5.5,93.1,93.8,93.27777777777777,92.7
5.6,92.75,93.53333333333333,92.94285714285714,92.375
5.7,92.4,93.25,92.7,92.07499999999999
5.8,92.13333333333333,92.83333333333333,92.45,91.75
5.9,91.77499999999999,92.53333333333333,92.05,91.45
6,91.35,92.03333333333333,91.77499999999999,91.14
6.1,91.125,91.6,91.48,90.7
6.2,90.64999999999999,91.4,91.2,90.5
6.3,90.13333333333333,91.2,90.9,90.30000000000001
6.4,89.86666666666667,90.73333333333333,90.5,89.875
6.5,89.5,90.42,90.25,89.625
6.6,89.275,90.175,89.9,89.38000000000001
6.7,88.925,89.84,89.65,89.05
6.8,88.425,89.5,89.3,88.8
6.9,87.75,89.30000000000001,89.05,88.4
7,87.47500000000001,88.9,88.725,88
7.1,87.19999999999999,88.6,88.45,87.875
7.2,86.9,88.125,88.1,87.55
7.3,86.5,87.74,87.8,87.175
7.4,86.15,87.45714285714286,87.5,86.925
7.5,85.82,87.22222222222223,87.2,86.7
7.6,85.36666666666667,86.86250000000001,87,86.45
7.7,85.16666666666666,86.5625,86.7,86.1
7.8,84.83749999999999,86.38571428571429,86.4,85.675
7.9,84.46666666666667,86.05,86.125,85.425
8,84.15,85.625,85.73333333333333,85.18
8.1,83.725,85.3,85.47500000000001,84.95
8.2,83.43333333333334,85.05,85.13333333333333,84.6
8.3,83,84.7,84.85000000000001,84.35
8.4,82.6,84.35,84.53999999999999,84
8.5,82.4,84,84.2,83.65
8.6,82.06,83.66,83.94,83.42
8.7,81.75,83.425,83.7,83.175
8.8,81.275,83.11666666666666,83.45,82.925
8.9,80.88,82.775,83.14999999999999,82.56
9,80.7,82.66,82.775,82.23333333333333
9.1,80.4,82.1625,82.52499999999999,82.1
9.2,79.9,81.975,82.2,81.8
9.3,79.35000000000001,81.65,81.96666666666667,81.47500000000001
9.4,79.02499999999999,81.31666666666666,81.6,81.2
9.5,78.8,81.1,81.325,80.9
9.6,78.55,80.69999999999999,81.075,80.63333333333333
9.7,78.05,80.3,80.725,80.375
9.8,77.64999999999999,80.05,80.47500000000001,80.02499999999999
9.9,77.38000000000001,79.75,80.225,79.66666666666666
10,77.15,79.275,80,79.5
10.1,76.8,79.02499999999999,79.75,79.26666666666667
10.2,76.5,78.86000000000001,79.4,78.95
10.3,76.3,78.5,79.15,78.575
10.4,75.9,78.2,78.8,78.425
10.5,75.55,77.95,78.46000000000001,78
10.6,75.2,77.6,78.1,77.9
10.7,74.85,77.35,77.96666666666667,77.56666666666666
10.8,74.51666666666667,77.075,77.65,77.325
10.9,74.2625,76.75,77.375,77.075
11,73.925,76.2,77.16666666666667,76.825
11.1,73.675,76.06,76.9,76.575
11.2,73.33749999999999,75.725,76.5,76.225
11.3,72.95,75.45,76.325,75.97500000000001
11.4,72.55,75.175,76.15,75.64999999999999
11.5,72.2,74.925,75.725,75.5
11.6,71.94,74.675,75.5,75.15
11.7,71.675,74.425,75.3,74.9
11.8,71.33333333333333,74.15,74.85,74.65
11.9,70.9,73.75,74.53999999999999,74.4
12,70.75,73.5,74.35000000000001,74.26666666666667
12.1,70.6,73.225,74.02499999999999,73.9
12.2,70.2,72.9,73.88571428571429,73.63333333333333
12.3,69.84,72.6,73.72,73.36666666666667
12.4,69.5,72.2,73.38000000000001,73.2
12.5,69.15,71.95,73.2,72.9
12.6,68.925,71.8,72.98,72.6
12.7,68.675,71.56666666666666,72.75,72.425
12.8,68.35000000000001,71.3,72.5,72.25
12.9,67.95,71.05,72.1,71.925
13,67.7,70.625,71.77142857142857,71.6
13.1,67.4,70.375,71.52499999999999,71.45
13.2,67.1,70.02499999999999,71.4,71.2
13.3,66.9,69.775,71.08333333333333,70.85
13.4,66.5,69.65,70.76666666666667,70.6
13.5,66.06666666666666,69.3,70.47500000000001,70.3
13.6,65.8,69.05,70.225,70.15
13.7,65.56666666666666,68.8,69.97500000000001,69.9
13.8,65.4,68.55,69.725,69.65
13.9,65.2,68.225,69.575,69.4
14,64.9,67.95,69.34,69.12
14.1,64.65,67.6,69,68.8
14.2,64.25,67.4,68.85,68.56
14.3,64,67.13333333333333,68.5,68.3
14.4,63.75,66.86,68.25,68.12857142857142
14.5,63.375,66.5,68.06666666666666,67.9
14.6,63.1,66.4,67.8,67.55555555555556
14.7,62.824999999999996,66.15,67.53999999999999,67.31428571428572
14.8,62.575,65.825,67.3,67.125
14.9,62.324999999999996,65.575,66.95,66.9
15,62.03333333333333,65.325,66.7,66.725
15.1,61.75,65.1,66.55,66.5
15.2,61.425,64.75,66.32,66.15
15.3,61.28,64.5,66.075,65.875
15.4,61.05,64.35000000000001,65.825,65.73333333333333
15.5,60.833333333333336,64.05,65.575,65.4
15.6,60.5,63.675,65.325,65.16666666666667
15.7,60.16666666666667,63.38333333333333,65.075,64.95
15.8,59.96666666666667,63.175000000000004,64.925,64.75
15.9,59.725,63.0125,64.6,64.54285714285714
16,59.43333333333333,62.675000000000004,64.35,64.3
16.1,59.150000000000006,62.425,64.1,64.075
16.2,58.9,62.275,63.86666666666666,63.925
16.3,58.6,62.025,63.7,63.650000000000006
16.4,58.44,61.8,63.5,63.339999999999996
16.5,58.1,61.650000000000006,63.275,63.2
16.6,57.849999999999994,61.35,63,63
16.7,57.6,61.025,62.85,62.8
16.8,57.45,60.85,62.6,62.575
16.9,57.125,60.53333333333333,62.275,62.324999999999996
17,56.975,60.3,62.125,62
17.1,56.625,60.2,61.9,61.9
17.2,56.475,60,61.725,61.7
17.3,56.15,59.650000000000006,61.5,61.52
17.4,55.88,59.4,61.225,61.2
17.5,55.7,59.160000000000004,61,60.96666666666667
17.6,55.5,58.849999999999994,60.75,60.75
17.7,55.26,58.625,60.525,60.5
17.8,54.95,58.475,60.375,60.25
17.9,54.7,58.125,60.2,60.1
18,54.45,57.95,60,59.95
18.1,54.2,57.65,59.650000000000006,59.7
18.2,53.849999999999994,57.46666666666667,59.5,59.45
18.3,53.7,57.375,59.275,59.31999999999999
18.4,53.6,57.125,59,59.06
18.5,53.45,56.9,58.7,58.824999999999996
18.6,53.2,56.775000000000006,58.5,58.6
18.7,52.86,56.4875,58.275,58.425
18.8,52.6,56.15714285714286,58.14,58.175000000000004
18.9,52.375,55.925,57.95,57.925
19,52.125,55.675000000000004,57.8,57.775
19.1,51.975,55.525,57.55,57.625
19.2,51.739999999999995,55.3,57.4,57.36
19.3,51.5,55.1,57.1,57.125
19.4,51.3,54.96,56.9,56.875
19.5,50.9,54.65,56.6,56.7
19.6,50.733333333333334,54.375,56.425,56.54
19.7,50.575,54.05,56.239999999999995,56.33333333333333
19.8,50.425,53.875,56.1,56.1
19.9,50.175000000000004,53.7,55.85,55.9
20,49.925,53.5,55.6,55.7
20.1,49.675000000000004,53.349999999999994,55.4,55.5
20.2,49.5125,53.1,55.233333333333334,55.275
20.3,49.371428571428574,52.86666666666667,54.95,55.125
20.4,49.1,52.7,54.8,54.925
20.5,48.875,52.475,54.66666666666667,54.7
20.6,48.72222222222222,52.3,54.55,54.525
20.7,48.5,52.075,54.3,54.4
20.8,48.349999999999994,51.824999999999996,54.12500000000001,54.150000000000006
20.9,48.05,51.580000000000005,53.8,53.9
21,47.83333333333333,51.349999999999994,53.625,53.8
21.1,47.7125,51.1,53.4,53.55
21.2,47.38333333333333,50.949999999999996,53.27142857142857,53.349999999999994
21.3,47.175000000000004,50.8,53.05,53.125
21.4,46.925,50.475,52.9,52.975
21.5,46.7,50.355555555555554,52.575,52.824999999999996
21.6,46.7,50.175000000000004,52.4,52.675000000000004
21.7,46.45,49.9,52.275,52.44
21.8,46.225,49.760000000000005,52.1,52.2
21.9,45.975,49.449999999999996,51.95,52
22,45.8,49.3,51.7,51.9
22.1,45.63333333333333,49.125,51.5,51.75
22.2,45.425,49,51.32000000000001,51.6
22.3,45.175000000000004,48.824999999999996,51.125,51.349999999999994
22.4,45,48.56666666666667,50.975,51.1
22.5,44.9,48.324999999999996,50.725,50.849999999999994
22.6,44.75,48.175000000000004,50.575,50.7
22.7,44.6,48.025,50.4,50.6
22.8,44.3,47.88,50.225,50.4
22.9,44.1,47.666666666666664,49.975,50.25
23,43.95,47.38,49.725,50
23.1,43.7,47.2,49.5,49.86
23.2,43.5,47.1,49.45,49.6
23.3,43.3,46.95,49.3,49.4
23.4,43.175000000000004,46.7,49.05,49.3
23.5,43.025,46.55,48.9,49.1
23.6,42.916666666666664,46.3,48.675000000000004,48.925
23.7,42.575,46.2,48.519999999999996,48.675000000000004
23.8,42.36666666666667,46,48.3,48.5
23.9,42.2,45.86,48.1,48.375
24,42.01428571428571,45.625,48,48.239999999999995
24.1,41.8,45.475,47.824999999999996,48.1
24.2,41.650000000000006,45.225,47.575,47.95
24.3,41.4,45.075,47.425,47.7
24.4,41.3,44.95,47.175000000000004,47.55
24.5,41.12,44.775,47.0125,47.4
24.6,40.98571428571429,44.642857142857146,46.9,47.260000000000005
24.7,40.9,44.38,46.724999999999994,47
24.8,40.7,44.150000000000006,46.475,46.875
24.9,40.525,43.980000000000004,46.3125,46.7
25,40.36666666666667,43.849999999999994,46.18571428571429,46.5
25.1,40.2,43.7,46.019999999999996,46.3
25.2,39.96666666666667,43.5,45.888888888888886,46.2
25.3,39.7,43.3,45.766666666666666,45.95
25.4,39.63333333333333,43.150000000000006,45.480000000000004,45.8
25.5,39.55,42.9,45.36,45.675000000000004
25.6,39.35,42.760000000000005,45.16666666666667,45.425000000000004
25.7,39.1,42.6,45,45.3
25.8,38.974999999999994,42.36666666666667,44.825,45.211111111111116
25.9,38.72500000000001,42.225,44.7,45.0375
26,38.6,42.1,44.6,44.825
26.1,38.5,41.87499999999999,44.3,44.5875
26.2,38.3,41.7,44.1,44.4625
26.3,38.05,41.48,44,44.275000000000006
26.4,37.9,41.349999999999994,43.87499999999999,44.150000000000006
26.5,37.75,41.3,43.7,44
26.6,37.675,41.05,43.5,43.9
26.7,37.43333333333334,40.9,43.3,43.7
26.8,37.3,40.77499999999999,43.2,43.574999999999996
26.9,37.239999999999995,40.6,43,43.4
27,37,40.474999999999994,42.87499999999999,43.27499999999999
27.1,36.849999999999994,40.325,42.7,43.1
27.2,36.675000000000004,40.08,42.58,42.94
27.3,36.55,39.9,42.45,42.8
27.4,36.425,39.8,42.3,42.650000000000006
27.5,36.3,39.64,42.150000000000006,42.4
27.6,36.06666666666666,39.4,42,42.287499999999994
27.7,35.8,39.3,41.824999999999996,42.1625
27.8,35.666666666666664,39.2,41.628571428571426,42.0375
27.9,35.574999999999996,39,41.4,41.9125
28,35.474999999999994,38.9,41.3,41.6875
28.1,35.339999999999996,38.8,41.1,41.53333333333333
28.2,35.2,38.62500000000001,41,41.349999999999994
28.3,35.05,38.4,40.9,41.225
28.4,34.9,38.3,40.7,41.1
28.5,34.75,38.1,40.6,40.95
28.6,34.6,38,40.41666666666667,40.75
28.7,34.5,37.9,40.287499999999994,40.625
28.8,34.3,37.7,40.150000000000006,40.5
28.9,34.22500000000001,37.5,40.025000000000006,40.37499999999999
29,34.074999999999996,37.349999999999994,39.8,40.22500000000001
29.1,33.9,37.2,39.650000000000006,40.1
29.2,33.8,37.1,39.5,39.9
29.3,33.6,36.95,39.4,39.8
29.4,33.5,36.8,39.2,39.6
29.5,33.4,36.650000000000006,39.1,39.5
29.6,33.25,36.5,39,39.37499999999999
29.7,33.06666666666667,36.3,38.87499999999999,39.25
29.8,32.9125,36.25,38.7,39.025000000000006
29.9,32.785714285714285,36,38.5,38.8
30,32.63333333333333,35.9,38.4,38.7
