Percentage Depth Doses,,,,
Wedge 60,,,,
SSD=100cm,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,
Depth [cm],4x4cm2,10x10cm2,15x15cm2,15x40cm2
11.7,69.43333333333334,71.8,72.325,72.06666666666666
11.8,69.1,71.45,72.02499999999999,71.80000000000001
11.9,68.66,71.075,71.825,71.46666666666667
12,68.25,70.825,71.6,71.1
12.1,68,70.575,71.25,70.9
12.2,67.73333333333333,70.35,70.96666666666667,70.7
12.3,67.3,69.9,70.675,70.325
12.4,67.1,69.65,70.4,69.97500000000001
12.5,66.83333333333333,69.4,70.075,69.8
12.6,66.56666666666666,69.05,69.825,69.63333333333333
12.7,66.2,68.8,69.575,69.3
12.8,65.875,68.53333333333333,69.25,69.1
12.9,65.625,68.2,68.93333333333334,68.66666666666667
13,65.28,67.8,68.66,68.43333333333334
13.1,65.05,67.6,68.4,68.1
13.2,64.76666666666667,67.4,68.1,67.8
13.3,64.36666666666667,67.1,67.7,67.6
13.4,64,66.875,67.53333333333333,67.3
13.5,63.72,66.5,67.35000000000001,67.15
13.6,63.4,66.2,67.05,66.8
13.7,63.225,65.925,66.83333333333333,66.63333333333333
13.8,63.04,65.65,66.6,66.36666666666667
13.9,62.733333333333334,65.225,66.3,66.175
14,62.4,65,65.97500000000001,65.75
14.1,62.1,64.8,65.66666666666667,65.47500000000001
14.2,61.675000000000004,64.5,65.5,65.33333333333333
14.3,61.4,64.325,65.26666666666667,65
14.4,61.3,63.95,65.03333333333333,64.75
14.5,60.766666666666666,63.625,64.725,64.5
14.6,60.425,63.28,64.48,64.3
14.7,60.16666666666667,63.1,64.3,63.93333333333333
14.8,60,62.9,63.975,63.775
14.9,59.7,62.675000000000004,63.65,63.580000000000005
15,59.5,62.324999999999996,63.375,63.349999999999994
15.1,59.3,62.075,63.05,63
15.2,58.95,61.824999999999996,62.78,62.75
15.3,58.75,61.5,62.55,62.519999999999996
15.4,58.4,61.2,62.4,62.233333333333334
15.5,58.160000000000004,60.9,62.150000000000006,62.02
15.6,57.875,60.7,62,61.7
15.7,57.575,60.525,61.733333333333334,61.525
15.8,57.2,60.1,61.25,61.3
15.9,56.9,59.9,61.075,60.95
16,56.7,59.7,60.849999999999994,60.8
16.1,56.45,59.5,60.7,60.55
16.2,56.275,59.3,60.36666666666667,60.4
16.3,55.925,59,60.1,60.225
16.4,55.675000000000004,58.7,59.9,59.85
16.5,55.5,58.46666666666667,59.7,59.525
16.6,55.28,58.225,59.38,59.4
16.7,55.05,57.875,59.150000000000006,59.17999999999999
16.8,54.65,57.7,58.875,58.9
16.9,54.3,57.46666666666667,58.650000000000006,58.7
17,54.160000000000004,57.175000000000004,58.4,58.45
17.1,53.925,57,58.16666666666667,58.2
17.2,53.650000000000006,56.7,57.9,58
17.3,53.375,56.5,57.66666666666667,57.78
17.4,53.14,56.3,57.425,57.5
17.5,52.86666666666667,56.15,57.175000000000004,57.2
17.6,52.63333333333333,55.875,57,57.075
17.7,52.4,55.625,56.775,56.824999999999996
17.8,52.2,55.375,56.5,56.6
17.9,52,55.125,56.3,56.4
18,51.8,54.9,56,56.2
18.1,51.525,54.650000000000006,55.875,56.025
18.2,51.3,54.4,55.56666666666667,55.775
18.3,51,54.239999999999995,55.4,55.5
18.4,50.725,54,55.2,55.3
18.5,50.53333333333333,53.8,55,55.1
18.6,50.4,53.62,54.775,54.86
18.7,50.1,53.25,54.5,54.650000000000006
18.8,49.849999999999994,53,54.3,54.525
18.9,49.62,52.775,54.075,54.2
19,49.375,52.5,53.8,53.980000000000004
19.1,49.125,52.2,53.63333333333333,53.733333333333334
19.2,48.9,52.05,53.4,53.4
19.3,48.75,51.81999999999999,53.25,53.3
19.4,48.375,51.575,53,53.13333333333333
19.5,48.175000000000004,51.4,52.8,52.96666666666667
19.6,48.03333333333333,51.16666666666667,52.6,52.725
19.7,47.7,50.96666666666667,52.349999999999994,52.475
19.8,47.575,50.7,52.13333333333333,52.239999999999995
19.9,47.4,50.46666666666667,51.875,52.025
20,47.266666666666666,50.3,51.625,51.8
20.1,47.1,50.025,51.475,51.650000000000006
20.2,46.849999999999994,49.9,51.225,51.5
20.3,46.675000000000004,49.675000000000004,51.1,51.25
20.4,46.45,49.575,50.9,51.06666666666667
20.5,46.14,49.324999999999996,50.7,50.9
20.6,45.875,49.2,50.5,50.7
20.7,45.6,48.849999999999994,50.3,50.5
20.8,45.43333333333333,48.650000000000006,50.075,50.3
20.9,45.28,48.4,49.849999999999994,50.06
21,45.06666666666667,48.2,49.675000000000004,49.925
21.1,44.9,48,49.375,49.7
21.2,44.75,47.75,49.266666666666666,49.525
21.3,44.5,47.525,49,49.3
21.4,44.4,47.375,48.775,49.2
21.5,44.1,47.239999999999995,48.625,48.96666666666667
21.6,43.9,47.1,48.4,48.7
21.7,43.7,46.849999999999994,48.3,48.575
21.8,43.5,46.7,48.1,48.324999999999996
21.9,43.3,46.5,47.849999999999994,48.06
22,43.1,46.275,47.7,47.925
22.1,42.9,46,47.4,47.775
22.2,42.775,45.81999999999999,47.239999999999995,47.650000000000006
22.3,42.5,45.56666666666667,47.06666666666667,47.4
22.4,42.275,45.349999999999994,46.8,47.2
22.5,42.1,45.2,46.6,47
22.6,41.9,45.05,46.5,46.824999999999996
22.7,41.75,44.824999999999996,46.349999999999994,46.6
22.8,41.6,44.56666666666667,46.1,46.4
22.9,41.4,44.4,45.95,46.3
23,41.25,44.3,45.7,46.125
23.1,41.1,44.1,45.56666666666667,45.875
23.2,40.8,43.925,45.3,45.7
23.3,40.7,43.8,45.1,45.53333333333333
23.4,40.55,43.650000000000006,44.9,45.375
23.5,40.275,43.4,44.766666666666666,45.2
23.6,40.125,43.1,44.6,44.980000000000004
23.7,39.9,42.975,44.43333333333333,44.86666666666667
