Output factors,,,,,,,,
Wedge 45 R,,,,,,,,
SSD=95cm,,,,,,,,
Depth=5cm,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,,Field size X [cm],,,,,,
Field Size Y [cm],,3,4.0,5.0,7.0,10.0,15.0,20.0
,3.0,0.868,0.884,0.893,0.902,0.908,0.914,0.918
,4.0,0.886,0.906,0.916,0.928,0.936,0.943,0.948
,5.0,0.896,0.918,0.93,0.943,0.953,0.962,0.968
,7.0,0.908,0.933,0.947,0.964,0.977,0.989,0.997
,10.0,0.919,0.946,0.963,0.983,1.0,1.016,1.027
,15.0,0.928,0.958,0.977,1.001,1.022,1.044,1.06
,20.0,0.933,0.965,0.985,1.011,1.036,1.061,1.08
,30.0,0.94,0.973,0.995,1.025,1.054,1.085,1.109
,40.0,0.945,0.979,1.001,1.033,1.064,1.099,1.125
