Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=30cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-30.9,,,,,,,,10.4
-30.8,,,,,,,,10.479999999999995
-30.7,,,,,,,,10.633333333333333
-30.6,,,,,,,,10.81666666666667
-30.5,,,,,,,,10.98333333333333
-30.4,,,,,,,,11.133333333333333
-30.3,,,,,,,,11.320000000000006
-30.2,,,,,,,,11.485714285714284
-30.1,,,,,,,,11.649999999999999
-30,,,,,,,,11.8
-29.9,,,,,,,,11.979999999999995
-29.8,,,,,,,,12.149999999999999
-29.7,,,,,,,,12.4
-29.6,,,,,,,,12.557142857142855
-29.5,,,,,,,,12.716666666666669
-29.4,,,,,,,,12.96666666666666
-29.3,,,,,,,,13.160000000000002
-29.2,,,,,,,,13.333333333333334
-29.1,,,,,,,,13.475000000000001
-29,,,,,,,,13.733333333333333
-28.9,,,,,,,,13.950000000000003
-28.8,,,,,,,,14.166666666666666
-28.7,,,,,,,,14.375000000000002
-28.6,,,,,,,,14.6
-28.5,,,,,,,,14.833333333333334
-28.4,,,,,,,,15.1
-28.3,,,,,,,,15.36666666666666
-28.2,,,,,,,,15.55
-28.1,,,,,,,,15.866666666666667
-28,,,,,,,,16.233333333333338
-27.9,,,,,,,,16.5
-27.8,,,,,,,,16.9
-27.7,,,,,,,,17.15999999999999
-27.6,,,,,,,,17.5
-27.5,,,,,,,,17.9
-27.4,,,,,,,,18.4
-27.3,,,,,,,,18.833333333333332
-27.2,,,,,,,,19.4
-27.1,,,,,,,,20.085714285714275
-27,,,,,,,,20.9
-26.9,,,,,,,,21.762500000000006
-26.8,,,,,,,,22.82499999999999
-26.7,,,,,,,,24.250000000000032
-26.6,,,,,,,,25.950000000000003
-26.5,,,,,,,,28.380000000000067
-26.4,,,,,,,,31.780000000000086
-26.3,,,,,,,,36
-26.2,,,,,,,,40.96666666666666
-26.1,,,,,,,,46.98571428571419
-26,,,,,,,,53.56250000000004
-25.9,,,,,,,,59.62499999999996
-25.8,,,,,,,,65.34999999999988
-25.7,,,,,,,,70.06250000000009
-25.6,,,,,,,,73.41428571428573
-25.5,,,,,,,,75.92500000000003
-25.4,,,,,,,,77.9
-25.3,,,,,,,,79.36666666666667
-25.2,,,,,,,,80.6
-25.1,,,,,,,,81.48
-25,,,,,,,,82.3
-24.9,,,,,,,,83.05
-24.8,,,,,,,,83.72857142857143
-24.7,,,,,,,,84.25
-24.6,,,,,,,,84.63749999999999
-24.5,,,,,,,,85.05000000000001
-24.4,,,,,,,9.783333333333335,85.55
-24.3,,,,,,,9.860000000000003,86.05
-24.2,,,,,,,10,86.33333333333333
-24.1,,,,,,,10.2,86.675
-24,,,,,,,10.4,87.05000000000001
-23.9,,,,,,,10.5,87.35000000000001
-23.8,,,,,,,10.6,87.7
-23.7,,,,,,,10.9,87.97500000000001
-23.6,,,,,,,10.957142857142857,88.28888888888889
-23.5,,,,,,,11.12,88.4625
-23.4,,,,,,,11.316666666666666,88.7625
-23.3,,,,,,,11.5,88.925
-23.2,,,,,,,11.7,89.1375
-23.1,,,,,,,11.914285714285715,89.325
-23,,,,,,,12.08,89.575
-22.9,,,,,,,12.266666666666664,89.7125
-22.8,,,,,,,12.5,89.8375
-22.7,,,,,,,12.666666666666668,90.02499999999999
-22.6,,,,,,,12.833333333333332,90.2
-22.5,,,,,,,13.1,90.35
-22.4,,,,,,,13.366666666666669,90.55
-22.3,,,,,,,13.539999999999997,90.75
