Percentage Depth Doses,,,,,
Wedge 15,,,,,
SSD=80cm,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,30x30cm2,40x30cm2
0,25.6,35.7,54.7,69.4,74.3
0.1,29.3125,39.9875,58.6,73.15,77.925
0.2,35.8,45.65,64.16666666666667,77.8,82.08
0.3,44.3,54.1,71.03999999999999,83.35,87.0111111111111
0.4,52.099999999999994,61.05,76.52499999999999,87.5,90.4375
0.5,59,66.825,81.25,90.86666666666667,93.3125
0.6,64.82,72.2,85.15,93.34,95.4125
0.7,69.95,76.46,88.35,95.4,97.0125
0.8,74.5,80.25,90.85,96.725,98.1
0.9,78.3,83.45,92.8,97.9,99.01666666666667
1,81.47999999999999,86.175,94.5,98.675,99.55
1.1,84.35,88.6,95.80000000000001,99.35000000000001,99.8
1.2,86.8,90.60000000000001,96.825,99.64999999999999,100
1.3,89,92.3,97.825,99.875,100
1.4,90.9,93.7,98.5125,100,100
1.5,92.47142857142858,95,99.05,100,99.86666666666667
1.6,93.98888888888888,96,99.4375,100,99.725
1.7,95.1,96.94999999999999,99.76666666666667,99.9,99.5
1.8,96.1875,97.7,99.95714285714286,99.7,99.15
1.9,97.15714285714286,98.32000000000001,100,99.4,98.85
2,97.8,98.8,100,99.25,98.5
2.1,98.5,99.3,99.97500000000001,98.9,98.22500000000001
2.2,99.03999999999999,99.525,99.9,98.6,97.72500000000001
2.3,99.33333333333333,99.775,99.75,98.2,97.4
2.4,99.64999999999999,99.9,99.61428571428571,97.85,97.05
2.5,99.86666666666667,99.97777777777777,99.375,97.5,96.7
2.6,99.96666666666667,100,99.125,97.1,96.19999999999999
2.7,100,100,98.87142857142858,96.69999999999999,95.8
2.8,100,99.95,98.58571428571429,96.32,95.375
2.9,99.9,99.78571428571428,98.26,95.95714285714286,94.9
3,99.9,99.64285714285714,97.92500000000001,95.54,94.55
3.1,99.8,99.46000000000001,97.57499999999999,95.05,94.1
3.2,99.57499999999999,99.2,97.325,94.675,93.8
3.3,99.36666666666667,98.975,96.9,94.30000000000001,93.35
3.4,99.2,98.72500000000001,96.5375,93.85,92.88000000000001
3.5,98.9,98.5,96.2,93.4625,92.52499999999999
3.6,98.66,98.15,95.75714285714285,93.125,92.1
3.7,98.3,97.8,95.4,92.7,91.725
