Percentage Depth Doses,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization Chamber,,,,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,,,,
Depth [cm],3x3cm2,4x4cm2,6x6cm2,8x8cm2,10x10cm2,20x20cm2,30x30cm2,40x40cm2
0,25.3,26.2,28.7,31.6,34.4,48,57.1,62.2
0.1,29.1,29.8,32.15,35,37.86666666666667,52.080000000000005,60.824999999999996,65.8
0.2,35.725,36.825,38.6,41.6,44.766666666666666,57.93333333333333,66.5,71.12
0.3,44.699999999999996,45.300000000000004,47.25,49.800000000000004,52.5,65,72.72,76.5
0.4,52.675,52.5,54.8,57.25,59.8,71.1,78.1,81.36666666666666
0.5,59.475,59.35,61.400000000000006,63.46666666666666,66.13333333333333,76.5,82.2,85
0.6,65.1,64.9,67,69.1,71.2,80.35,85.875,88.3
0.7,70.38,70.1,71.26666666666667,73.5,75.36,84.2,88.85,90.7
0.8,74.3,74.4,75.4,77.13333333333334,79.05000000000001,87,91.14,92.8
0.9,78.1,77.8,78.94,80.7,82.1,89.7,93.175,94.4
1,81.44999999999999,80.93333333333334,81.93333333333334,83.43333333333334,85.025,91.52,94.75,95.875
1.1,84.4,83.85,84.6,86.16666666666667,87.4,93.4,95.9,96.8
1.2,86.82,86.1,86.9,88.3,89.5,94.8,96.95,97.75999999999999
1.3,88.75,88.3,89.05000000000001,90.3,91.2,96,97.9,98.52000000000001
1.4,90.85,90.19999999999999,90.96666666666667,91.95,92.82,96.97500000000001,98.5,99.02000000000001
1.5,92.35000000000001,91.9,92.4,93.4,94.15,97.80000000000001,99.03999999999999,99.45
1.6,93.675,93.33333333333333,93.63333333333334,94.6,95.3,98.375,99.4,99.7
1.7,94.925,94.7,94.89999999999999,95.575,96.25,99,99.72500000000001,99.9
1.8,96.125,95.7,95.96,96.5,97.1,99.23333333333333,99.875,100
1.9,96.88,96.6,96.725,97.39999999999999,97.74,99.66666666666667,100,100
2,97.56,97.375,97.46666666666667,97.95,98.35,99.82,100,100
2.1,98.25,97.95,98.03333333333333,98.52499999999999,98.83333333333334,99.96666666666667,100,99.94
2.2,98.9,98.55,98.65,98.92500000000001,99.22500000000001,100,99.9,99.8
2.3,99.33333333333334,98.975,99.03333333333333,99.26,99.475,100,99.8,99.65
2.4,99.73333333333333,99.2,99.325,99.5,99.675,100,99.7,99.53999999999999
