Percentage Depth Doses,,,,
Wedge 45,,,,
SSD=80cm,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,40x20cm2
0,40.9,47.2,58.8,66
0.1,46.475,52,63.775,70.45
0.2,54.2,60,70.875,76.41428571428571
0.3,65.72,70.54,78.4,83.03333333333333
0.4,74.7,78.55000000000001,85.04,88.3
0.5,81.7,84.9,89.9,92.2
0.6,87,89.45,93.1,94.9375
0.7,91,92.8,95.65,96.875
0.8,93.8,95.30000000000001,97.3,98.275
0.9,96.1,97.13333333333333,98.5,99.1625
1,97.39999999999999,98.25,99.3,99.72
1.1,98.7,99.075,99.80000000000001,100
1.2,99.46666666666667,99.725,100,100
1.3,99.85,99.97500000000001,100,100
1.4,100,100,100,99.93333333333334
1.5,100,100,99.875,99.75
1.6,99.97500000000001,99.875,99.72500000000001,99.4
1.7,99.8,99.5375,99.27499999999999,99.1
1.8,99.25,99.2,98.975,98.66
1.9,98.92500000000001,98.95,98.64999999999999,98.35000000000001
2,98.55,98.6,98.2,97.92500000000001
2.1,98.14,98.14999999999999,97.78,97.55
2.2,97.62,97.72500000000001,97.35000000000001,97.13333333333333
2.3,97.03333333333333,97.2,96.93333333333334,96.68
2.4,96.56,96.69999999999999,96.5,96.25
2.5,96.05000000000001,96.36666666666667,96.05,95.8
2.6,95.43333333333334,95.7,95.7,95.42500000000001
2.7,94.8,95.38,95.15,95
2.8,94.4,94.9,94.8,94.5
2.9,93.7,94.5,94.35,94
3,93.25,94.05,93.8,93.7
3.1,92.7,93.55,93.4,93.19999999999999
3.2,92.22,92.97500000000001,93,92.85
3.3,91.75,92.55,92.55,92.42
3.4,91.05,92.05,92.1,91.95
3.5,90.525,91.65,91.6,91.55
3.6,90.02499999999999,91.14,91.22500000000001,91.125
3.7,89.45,90.65,90.77499999999999,90.65
3.8,89.02499999999999,90.25,90.35,90.19999999999999
3.9,88.45,89.7,89.95,89.9
4,87.84,89.30000000000001,89.55,89.4
4.1,87.35,88.8,89.125,88.93333333333334
4.2,86.75999999999999,88.4,88.65,88.63333333333333
4.3,86.4,87.9,88.22500000000001,88.19999999999999
4.4,85.8,87.45,87.82857142857142,87.75
4.5,85.30000000000001,86.975,87.35,87.27499999999999
4.6,84.75,86.55,86.95,86.96666666666667
4.7,84.35,86,86.46666666666667,86.5
4.8,83.6,85.675,86.2,86.025
4.9,83.15,85.14999999999999,85.69999999999999,85.65
5,82.6,84.75,85.2,85.19999999999999
5.1,82.16,84.35,84.8,84.8
5.2,81.7,83.8,84.35,84.45
5.3,81.125,83.30000000000001,83.86666666666667,84
5.4,80.64999999999999,82.9,83.5,83.6
5.5,80.07499999999999,82.55,83.05,83.25
5.6,79.67999999999999,81.9,82.6,82.9
5.7,79.2,81.55,82.4,82.4
5.8,78.6,81.125,82,82.1
5.9,78.3,80.66666666666667,81.55,81.64999999999999
6,77.66666666666666,80.2,81.075,81.25
6.1,77.16666666666667,79.75,80.75,80.85
6.2,76.8,79.4,80.44,80.45
6.3,76.45,79.05,80,80.05000000000001
6.4,75.88,78.575,79.6,79.675
6.5,75.35000000000001,77.96000000000001,79,79.325
6.6,74.775,77.55,78.775,78.86666666666667
6.7,74.425,77.2,78.45,78.575
6.8,73.95,76.8,78.05,78.25
6.9,73.375,76.4,77.64999999999999,77.8
7,72.9,76,77.15,77.35
7.1,72.55,75.6,76.83333333333333,77
7.2,72.15,75.1,76.43333333333334,76.75
7.3,71.64999999999999,74.675,76.05,76.25
7.4,71.175,74.33333333333333,75.5875,75.95
7.5,70.86000000000001,73.9625,75.21249999999999,75.52499999999999
7.6,70.38,73.57142857142858,74.95,75.3
7.7,69.8,73.17999999999999,74.53999999999999,74.80000000000001
7.8,69.5,72.7,74.075,74.4
7.9,69.1,72.3125,73.725,74.06
8,68.6,71.85,73.375,73.64999999999999
8.1,68.2,71.44999999999999,73.05,73.375
8.2,67.69999999999999,71.1,72.8,73
8.3,67.33999999999999,70.76,72.25,72.6
8.4,66.85000000000001,70.425,71.93333333333334,72.30000000000001
8.5,66.45,69.925,71.6,71.9
8.6,65.97500000000001,69.45,71.19999999999999,71.55
8.7,65.65,69.075,70.9,71.22
8.8,65.2,68.69999999999999,70.52499999999999,70.83333333333333
8.9,64.80000000000001,68.3,70.175,70.5
9,64.4,67.95,69.75,70.14999999999999
9.1,63.95,67.6,69.45,69.78750000000001
9.2,63.7,67.22,69.05,69.4125
9.3,63.233333333333334,66.8,68.675,69.15
9.4,62.7,66.42,68.35,68.76666666666667
9.5,62.36,66.05,68,68.38
9.6,61.95,65.675,67.72,68.1
9.7,61.54,65.325,67.3,67.65
9.8,61.25714285714286,65.05,66.9,67.35
9.9,60.839999999999996,64.7,66.575,67.03333333333333
10,60.475,64.25,66.2,66.64999999999999
10.1,60.225,63.8,65.86000000000001,66.35000000000001
10.2,59.650000000000006,63.53333333333333,65.52499999999999,66.02499999999999
10.3,59.2,63.1,65.2,65.65
10.4,58.9,62.766666666666666,64.85,65.325
10.5,58.525,62.375,64.6,64.98
10.6,58.175000000000004,61.980000000000004,64.25,64.7
10.7,57.675,61.6625,63.9,64.4
10.8,57.375,61.28,63.6,63.95
10.9,57.05,60.95,63.2,63.7
11,56.7,60.6,62.849999999999994,63.45
11.1,56.4,60.3,62.6,63.125
11.2,56,59.94,62.25,62.75
11.3,55.66666666666667,59.64000000000001,61.925,62.425
11.4,55.3,59.175000000000004,61.575,62.175000000000004
11.5,54.975,58.871428571428574,61.25,61.849999999999994
11.6,54.725,58.5,60.975,61.5
11.7,54.275,58.2,60.65,61.25
11.8,53.9,57.925,60.3,60.9
11.9,53.580000000000005,57.475,60,60.6
12,53.175000000000004,57.15,59.75,60.3
12.1,52.849999999999994,56.875,59.4,59.95
12.2,52.5,56.55,59.142857142857146,59.7
12.3,52.2,56.2,58.76,59.349999999999994
12.4,51.9,55.95,58.525,59.1
12.5,51.7,55.6,58.225,58.824999999999996
12.6,51.3,55.349999999999994,57.86,58.5
12.7,50.975,55,57.5,58.175000000000004
12.8,50.75,54.675000000000004,57.25,57.86
12.9,50.4,54.324999999999996,57,57.6
13,49.975,53.975,56.650000000000006,57.349999999999994
13.1,49.625,53.65,56.4,56.94285714285714
13.2,49.4,53.5,56.175000000000004,56.760000000000005
13.3,49.1,53.1,55.824999999999996,56.525
13.4,48.849999999999994,52.8,55.550000000000004,56.233333333333334
13.5,48.5,52.55,55.125,55.88
13.6,48.2,52.2,54.875,55.6
13.7,47.95,51.849999999999994,54.55,55.3
13.8,47.625,51.55,54.275,55.05
13.9,47.275,51.35,54.025,54.7
14,46.949999999999996,50.975,53.8,54.375
14.1,46.6,50.725,53.43333333333333,54.15
14.2,46.425,50.45,53.2,53.875
14.3,46.2,50.1,52.95,53.625
14.4,45.849999999999994,49.824999999999996,52.7,53.375
14.5,45.5,49.575,52.36666666666667,53.125
14.6,45.260000000000005,49.287499999999994,52.125,52.85
14.7,44.9,48.93333333333333,51.775,52.525
14.8,44.7,48.628571428571426,51.525,52.25
14.9,44.4,48.4,51.275,51.95
15,44.025,48.074999999999996,51.025,51.7
15.1,43.875,47.8,50.766666666666666,51.5
15.2,43.6,47.52,50.45,51.1
15.3,43.375,47.225,50.2,50.93333333333334
15.4,43.025,47.075,49.925,50.65
15.5,42.775,46.75,49.6,50.4
15.6,42.525,46.4,49.371428571428574,50.150000000000006
15.7,42.3,46.150000000000006,49.13333333333333,49.94
15.8,41.95,45.9,48.875,49.625
15.9,41.7,45.7,48.625,49.45
16,41.475,45.4,48.4,49.225
16.1,41.225,45.2,48.18749999999999,48.9
16.2,41.1,44.94,47.9,48.725
16.3,40.733333333333334,44.6,47.642857142857146,48.38571428571428
16.4,40.45,44.4,47.388888888888886,48.175000000000004
16.5,40.2,44.1,47.128571428571426,47.95
16.6,39.95,43.9,46.86,47.7
16.7,39.72,43.63333333333333,46.6,47.45
16.8,39.45,43.349999999999994,46.349999999999994,47.2
16.9,39.225,43.1,46.12,46.9
17,38.949999999999996,42.849999999999994,45.824999999999996,46.7
17.1,38.7,42.6,45.650000000000006,46.45
17.2,38.525,42.3,45.4,46.2
17.3,38.33333333333333,42.125,45.2,46
17.4,37.975,41.875,44.95,45.824999999999996
17.5,37.824999999999996,41.625,44.7,45.475
17.6,37.550000000000004,41.45,44.45,45.225
17.7,37.3,41.225,44.275,45.06
17.8,37.1,40.9,44.05,44.925
17.9,36.95,40.7,43.8,44.575
18,36.7,40.525,43.55,44.324999999999996
18.1,36.45,40.2,43.3,44.1
18.2,36.233333333333334,40,43.1,43.95
18.3,36,39.8,42.824999999999996,43.72
18.4,35.775,39.55,42.675000000000004,43.5
18.5,35.525,39.3,42.425,43.266666666666666
18.6,35.3,39.075,42.175000000000004,42.975
18.7,35.1,38.925,41.925,42.78333333333333
18.8,34.879999999999995,38.68000000000001,41.7,42.575
18.9,34.65714285714286,38.45,41.525,42.324999999999996
19,34.56666666666667,38.2,41.225,42.0875
19.1,34.233333333333334,37.95,41.125,41.9625
19.2,34.05,37.8,40.875,41.75714285714286
19.3,33.8,37.575,40.625,41.5
19.4,33.6,37.324999999999996,40.4,41.25
19.5,33.425,37.075,40.25,41.12
19.6,33.175000000000004,36.95,40,40.9
19.7,33.1,36.68571428571429,39.8,40.725
19.8,32.775,36.5,39.53333333333333,40.475
19.9,32.525,36.3,39.3,40.225
20,32.4,36,39.150000000000006,39.975
20.1,32.150000000000006,35.875,38.9,39.824999999999996
20.2,32,35.625,38.7,39.575
20.3,31.85,35.4,38.6,39.4
20.4,31.62,35.225,38.349999999999994,39.2
20.5,31.428571428571427,35.075,38.1,39
20.6,31.31111111111111,34.8,37.9,38.766666666666666
20.7,31.075000000000003,34.650000000000006,37.675000000000004,38.55
20.8,30.862499999999997,34.4,37.55,38.419999999999995
20.9,30.612500000000004,34.275,37.36666666666667,38.160000000000004
21,30.42222222222222,34.025,37.2125,38.025
21.1,30.2875,33.8,36.887499999999996,37.8
21.2,30.124999999999996,33.625,36.75714285714285,37.625
21.3,30,33.475,36.575,37.4
21.4,29.733333333333334,33.225,36.339999999999996,37.25
21.5,29.6,33.075,36.18000000000001,37
21.6,29.4,32.8625,35.95,36.849999999999994
21.7,29.2,32.737500000000004,35.8,36.7
21.8,29,32.48,35.575,36.5
21.9,28.9,32.3,35.419999999999995,36.3
22,28.65,32.14,35.2,36.150000000000006
22.1,28.5,31.975,35.025,35.9
22.2,28.35,31.75,34.8,35.7
22.3,28.2,31.6,34.64,35.6
22.4,28,31.45,34.5,35.36666666666667
22.5,27.9,31.2,34.3,35.2
22.6,27.75,31.05,34.1,35
22.7,27.5,30.9,33.95,34.9
22.8,27.35,30.75,33.8,34.675000000000004
22.9,27.2,30.5,33.6,34.5
23,27.05,30.4,33.4,34.3
23.1,26.839999999999996,30.23333333333333,33.2,34.125
23.2,26.7,30,33.025,33.9
23.3,26.571428571428573,29.860000000000003,32.875,33.75
23.4,26.366666666666667,29.724999999999998,32.7,33.6
23.5,26.185714285714287,29.46,32.575,33.45
23.6,26.05,29.325,32.324999999999996,33.3
23.7,25.9,29.2,32.2,33.1
23.8,25.775000000000002,29.025,32,32.9
23.9,25.633333333333333,28.8,31.8,32.75
24,25.5,28.65,31.7,32.6
24.1,25.275000000000002,28.5,31.6,32.45
24.2,25.1,28.35,31.35,32.22
24.3,25,28.2,31.2,32.05
24.4,24.85,28.05,31.1,31.950000000000003
24.5,24.7,27.8,30.9,31.75
24.6,24.55,27.7,30.7,31.614285714285714
24.7,24.4,27.6,30.5,31.475
24.8,24.266666666666666,27.4,30.4,31.26
24.9,24.1,27.2,30.2,31.1
25,23.9,27.1,30.025,30.97142857142857
25.1,23.8,26.95,29.9,30.8
25.2,23.7,26.7625,29.7,30.65
25.3,23.5,26.6,29.525,30.5
25.4,23.32,26.5,29.4,30.360000000000003
25.5,23.3,26.366666666666667,29.25,30.125
25.6,23.1,26.166666666666668,29.1,30
25.7,22.925000000000004,26,28.95,29.833333333333332
25.8,22.9,25.825000000000003,28.8,29.7
25.9,22.766666666666666,25.7,28.7,29.560000000000002
26,22.6,25.6,28.533333333333335,29.4
26.1,22.4,25.474999999999994,28.35,29.275000000000002
26.2,22.3,25.3,28.2,29.120000000000005
26.3,22.24,25.125000000000004,28.071428571428573,28.974999999999994
26.4,22.1,25,27.9,28.8
26.5,21.974999999999994,24.9,27.725,28.674999999999997
26.6,21.8,24.8,27.6,28.5
26.7,21.674999999999997,24.6,27.474999999999994,28.35
26.8,21.6,24.5,27.3,28.225
26.9,21.387499999999996,24.3,27.2,28.1
27,21.3,24.2,27.05,27.925000000000004
27.1,21.2,24.1,26.9,27.775
27.2,21.1,23.9,26.75,27.625000000000004
27.3,20.95,23.8,26.620000000000005,27.5
