Lateral Profiles,,,,,,,,,,,,,,,,,,,,
Wedge 45,,,,,,,,,,,,,,,,,,,,
SSD=100cm,,,,,,,,,,,,,,,,,,,,
Scanning direction: Crossline,,,,,,,,,,,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,,,,,,,,,,,
,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,
Off axis position [cm],Depth:1.5 cm FieldSize:4x4 cm2,Depth:1.5 cm FieldSize:10x10 cm2,Depth:1.5 cm FieldSize:20x20 cm2,Depth:1.5 cm FieldSize:40x20 cm2,Depth:5 cm FieldSize:4x4 cm2,Depth:5 cm FieldSize:10x10 cm2,Depth:5 cm FieldSize:20x20 cm2,Depth:5 cm FieldSize:40x20 cm2,Depth:10 cm FieldSize:4x4 cm2,Depth:10 cm FieldSize:10x10 cm2,Depth:10 cm FieldSize:20x20 cm2,Depth:10 cm FieldSize:40x20 cm2,Depth:20 cm FieldSize:4x4 cm2,Depth:20 cm FieldSize:10x10 cm2,Depth:20 cm FieldSize:20x20 cm2,Depth:20 cm FieldSize:40x20 cm2,Depth:30 cm FieldSize:4x4 cm2,Depth:30 cm FieldSize:10x10 cm2,Depth:30 cm FieldSize:20x20 cm2,Depth:30 cm FieldSize:40x20 cm2
-13.5,,,8.724999999999998,11.6,,,10.424999999999999,13.4054,,,14.6,17.720000000000006,,,23.764780000000002,27.21999999999999,,,38.2,41.59999999999998
-13.4,,,8.850000000000001,11.7,,,10.649999999999999,13.5254,,,14.9,18,,,24.304850000000002,27.799999999999997,,,42.13333333333331,45.17999999999998
-13.3,,,9,11.9,,,10.875000000000002,13.755500000000001,,,15.219999999999994,18.299999999999997,,,24.78496000000001,28.3,,,47.88333333333336,50.5
-13.2,,,9.2,12.02,,,11.024999999999999,14.0056,,,15.62,18.700000000000003,,,25.5051,28.71999999999999,,,56.05,57.9
-13.1,,,9.350000000000001,12.2,,,11.279999999999996,14.2257,,,15.899999999999997,19.04,,,26.085200000000007,29.399999999999995,,,65.95,66.80000000000004
-13,,,9.539999999999997,12.4,,,11.55,14.365760000000002,,,16.325,19.359999999999996,,,26.865339999999993,30.150000000000002,,,76.32000000000006,77.1833333333333
-12.9,,,9.660000000000002,12.575000000000001,,,11.775000000000002,14.625860000000005,,,16.650000000000002,19.75,,,27.60556000000001,31,,,87.06000000000006,86.68333333333337
-12.8,,,9.780000000000001,12.7,,,12,14.905950000000002,,,17.071428571428573,20.16,,,28.739066666666655,32.05,,,96.53333333333333,95.6
-12.7,,,9.983333333333334,12.924999999999999,,,12.2,15.222766666666665,,,17.5,20.599999999999998,,,30.146019999999993,33.41999999999999,,,104.96666666666667,103.6
-12.6,,,10.2,13.075000000000001,,,12.533333333333333,15.5062,,,17.9,20.950000000000003,,,32.1064,35,,,111.4,109.46666666666667
-12.5,,,10.333333333333332,13.3,,,12.749999999999998,15.7313,,,18.36,21.46,,,34.873633333333316,37.699999999999996,,,115.56666666666666,113.46666666666667
-12.4,,,10.58,13.52,,,13.159999999999998,16.056400000000004,,,18.840000000000003,21.93333333333333,,,39.307899999999975,42,,,118.23333333333333,115.8
-12.3,,,10.8,13.624999999999998,,,13.4,16.3065,,,19.3,22.35,,,45.892483333333374,48.3,,,120,117.3
-12.2,,,10.924999999999999,13.875000000000002,,,13.7,16.7067,,,19.833333333333336,22.950000000000003,,,55.33108000000006,56.82000000000005,,,121.1,118.4
-12.1,,,11.18,14.14,,,14.1,17.0468,,,20.6,23.540000000000006,,,66.79337999999997,67.8,,,121.96666666666667,119.2
-12,,,11.4,14.375000000000002,,,14.539999999999997,17.3736,,,21.34,24.3,,,78.09065000000004,79.01666666666672,,,122.4,119.65
-11.9,,,11.624999999999998,14.6,,,14.88,17.847119999999997,,,22.099999999999998,25.11666666666667,,,90.71813333333333,90.92000000000006,,,122.76,120.05000000000001
-11.8,,,11.9,14.833333333333332,,,15.3,18.187240000000003,,,23.299999999999997,26.2,,,102.02047999999998,101.93333333333338,,,123.05,120.3
-11.7,,,12.149999999999999,15.1,,,15.720000000000002,18.70745,,,24.720000000000002,27.5,,,111.80240000000002,110.14999999999998,,,123.225,120.56666666666666
-11.6,,,12.375000000000002,15.340000000000002,,,16.32,19.20765,,,26.95,29.7,,,119.18399999999998,117.21999999999998,,,123.4,120.7
-11.5,,,12.724999999999998,15.675,,,16.933333333333334,19.90795,,,30.266666666666666,32.9,,,123.64500000000001,121.23333333333333,,,123.48,120.83333333333333
-11.4,,,12.975000000000001,16,,,17.799999999999994,20.668280000000003,,,35.740000000000016,37.78000000000004,,,126.225,123.7,,8.9,123.7,121
-11.3,,,13.4,16.349999999999998,,,18.8,21.633675000000004,,,44.6,46.1,,,127.86580000000002,125.2,,9.1,123.775,121.08333333333333
-11.2,,,13.850000000000001,16.85,,,20.37999999999999,23.24932000000001,,,56.24000000000003,57.2,,,128.876,126.16666666666667,,9.333333333333332,123.8,121.3
-11.1,,,14.466666666666663,17.450000000000003,,,22.29999999999999,25.090020000000013,,,70.2,70.8,,,129.406,126.73333333333333,,9.5,123.9,121.4
-11,,,15.199999999999998,18.225,,,25.740000000000013,28.531379999999977,,,86,85.7,,,129.876,127.22,,9.7,124,121.4
-10.9,,,16.300000000000004,19.124999999999996,,,31.57999999999998,34.093620000000016,,,99.74000000000007,98.8,,6.9,130.14266666666666,127.4,,9.9,124.1,121.4
-10.8,,,17.999999999999993,20.800000000000008,,,41,43.217319999999965,,,113.6333333333334,112.12500000000004,,6.9,130.326,127.6,,10,124.02,121.5
