Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=10cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-26.9,,,,,,,,8.41666666666667
-26.8,,,,,,,,8.58333333333333
-26.7,,,,,,,,8.7
-26.6,,,,,,,,8.8
-26.5,,,,,,,,8.95
-26.4,,,,,,,,9.116666666666669
-26.3,,,,,,,,9.314285714285717
-26.2,,,,,,,,9.479999999999995
-26.1,,,,,,,,9.639999999999997
-26,,,,,,,,9.814285714285717
-25.9,,,,,,,,9.966666666666667
-25.8,,,,,,,,10.2
-25.7,,,,,,,,10.366666666666667
-25.6,,,,,,,,10.5
-25.5,,,,,,,,10.76666666666667
-25.4,,,,,,,,10.975000000000001
-25.3,,,,,,,,11.18
-25.2,,,,,,,,11.350000000000001
-25.1,,,,,,,,11.616666666666665
-25,,,,,,,,11.783333333333335
-24.9,,,,,,,,12.05
-24.8,,,,,,,,12.23333333333333
-24.7,,,,,,,,12.5
-24.6,,,,,,,,12.733333333333336
-24.5,,,,,,,,13.020000000000005
-24.4,,,,,,,,13.266666666666664
-24.3,,,,,,,,13.5
-24.2,,,,,,,,13.8
-24.1,,,,,,,,14.1
-24,,,,,,,,14.416666666666666
-23.9,,,,,,,,14.716666666666665
-23.8,,,,,,,,15.014285714285718
-23.7,,,,,,,,15.3
-23.6,,,,,,,,15.679999999999996
-23.5,,,,,,,,16
-23.4,,,,,,,,16.333333333333336
-23.3,,,,,,,,16.766666666666662
-23.2,,,,,,,,17.2
-23.1,,,,,,,,17.66666666666667
-23,,,,,,,,18.179999999999996
-22.9,,,,,,,,18.75999999999999
-22.8,,,,,,,,19.55
-22.7,,,,,,,,20.55
-22.6,,,,,,,,21.99999999999999
-22.5,,,,,,,,24.25999999999997
-22.4,,,,,,,,27.93999999999994
-22.3,,,,,,,,33.74285714285712
-22.2,,,,,,,,41.12000000000005
-22.1,,,,,,,,49.55714285714289
-22,,,,,,,,58.2
-21.9,,,,,,,,67.16666666666674
-21.8,,,,,,,,75.25
-21.7,,,,,,,,81.06666666666662
-21.6,,,,,,,,85.11666666666666
-21.5,,,,,,,,87.36666666666667
-21.4,,,,,,,7.4,88.9
-21.3,,,,,,,7.528571428571428,89.96
-21.2,,,,,,,7.6833333333333345,90.77499999999999
