Percentage Depth Doses,,,,,
Wedge 15,,,,,
SSD=120cm,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,30x30cm2,40x30cm2
0,45,50,57.5,63.8,66.2
0.1,50.400000000000006,55.1,62.3,68.48,70.69999999999999
0.2,59,62.8,69.64999999999999,74.8,76.8
0.3,69.5,72.3,78.2,81.6,83.55000000000001
0.4,77.4,79.66666666666667,84.15,87.15,88.4
0.5,83.45,85.08,88.7,90.95714285714286,92.1
0.6,88,89.45,92.05000000000001,93.98,94.75
0.7,91.5,92.425,94.6,95.85,96.55
0.8,93.95,94.725,96.3,97.45,97.89999999999999
0.9,95.93333333333332,96.575,97.7,98.58,98.84
1,97.43333333333334,97.84285714285714,98.725,99.33333333333334,99.375
1.1,98.5,98.8625,99.36666666666667,99.8,99.825
1.2,99.275,99.42,99.76666666666667,99.97500000000001,100
1.3,99.775,99.8,99.925,100,100
1.4,99.925,99.98,100,100,100
1.5,100,100,100,100,99.9
1.6,100,100,100,99.8,99.8
1.7,99.86666666666667,99.7,99.77499999999999,99.6,99.63333333333333
1.8,99.6,99.575,99.525,99.4,99.3
1.9,99.4,99.4,99.3,99.2,99.05
2,98.96666666666667,99.16666666666666,99.125,98.85,98.8
2.1,98.72500000000001,98.7,98.7,98.65,98.56666666666666
2.2,98.30000000000001,98.4625,98.35,98.325,98.2
2.3,97.8,98.05000000000001,98,97.975,97.85
2.4,97.35,97.65,97.80000000000001,97.67999999999999,97.6
2.5,96.9,97.42500000000001,97.4,97.4,97.35
2.6,96.6,97,97.15,97,97.05
2.7,95.9,96.6,96.76666666666667,96.725,96.675
2.8,95.6,96.25,96.35,96.35,96.325
2.9,95.14,96,96.13333333333333,96.11428571428571,96.025
3,94.675,95.56666666666666,95.69999999999999,95.69999999999999,95.76666666666667
3.1,94.325,95.2,95.4,95.45714285714286,95.4
3.2,93.85000000000001,94.82000000000001,95.1,95.11111111111111,95.125
3.3,93.325,94.42500000000001,94.75,94.8125,94.68
3.4,92.75,93.92,94.5,94.42500000000001,94.43333333333334
3.5,92.3,93.625,94.125,94.1,94.2
3.6,91.98,93.225,93.65,93.8,93.84
3.7,91.4,92.69999999999999,93.325,93.55,93.45
3.8,91.1,92.4,92.975,93.12,93.125
3.9,90.6,92.1,92.64999999999999,92.825,92.85000000000001
4,90.2,91.8,92.35000000000001,92.475,92.525
4.1,89.65,91.38,92.025,92.14999999999999,92.1
4.2,89.3,90.9,91.56,91.84,91.8
4.3,88.8,90.5,91.14,91.45,91.5
4.4,88.3,90.15,90.8,91.1,91.15
4.5,87.95,89.84,90.63333333333333,90.86,90.9
4.6,87.33333333333334,89.43333333333334,90.25,90.55,90.56
4.7,86.93333333333334,89.06,89.8,90.125,90.25
4.8,86.61428571428571,88.75,89.45,89.77499999999999,89.92500000000001
4.9,86.2,88.375,89.1,89.53333333333333,89.7
5,85.75,88,88.8,89.2,89.3
5.1,85.15,87.55,88.4,88.73333333333333,89
5.2,84.6,87.125,88.13333333333333,88.48,88.6
5.3,84.2,86.91666666666667,87.85,88.23333333333333,88.4
5.4,83.69999999999999,86.425,87.45,88,87.9
5.5,83.30000000000001,86.05,87.1,87.6,87.6
5.6,82.9,85.55,86.7,87.36666666666667,87.33333333333334
5.7,82.55,85.22857142857143,86.375,86.9,87.02
5.8,81.95,84.92500000000001,86.025,86.6,86.7
5.9,81.57499999999999,84.36666666666666,85.77499999999999,86.3,86.33333333333333
6,81.22500000000001,84.1,85.525,85.875,85.975
6.1,80.875,83.71249999999999,85.18,85.72500000000001,85.74
6.2,80.35,83.33749999999999,84.85,85.35000000000001,85.375
6.3,80,83,84.53999999999999,85.05,85.05
6.4,79.4857142857143,82.56666666666666,84.1,84.75999999999999,84.7
6.5,79,82.15,83.75,84.4,84.4
6.6,78.55,81.92,83.425,84,84.1
6.7,78.16,81.45,83.0625,83.75,83.75
6.8,77.65,81.125,82.725,83.5,83.325
6.9,77.35,80.675,82.4125,83.13333333333333,83.1
7,76.85000000000001,80.425,82.0375,82.83333333333333,82.85000000000001
7.1,76.425,80.1,81.77499999999999,82.4,82.53999999999999
7.2,76.125,79.55,81.5,82.2,82.25
7.3,75.64999999999999,79.3,81.19999999999999,81.825,81.925
7.4,75.2,78.85,80.95,81.52499999999999,81.7
7.5,74.80000000000001,78.6,80.55,81.275,81.25
7.6,74.4,78.25,80.125,80.925,81
7.7,74.05,77.9,79.875,80.56,80.65
7.8,73.6,77.66666666666667,79.53999999999999,80.19999999999999,80.4
7.9,73.15,77.2,79.26,79.9,80.16
8,72.85,76.93333333333334,78.925,79.6,79.825
8.1,72.5,76.45,78.575,79.2,79.55
8.2,71.95,76.05,78.34,79.03333333333333,79.06666666666666
8.3,71.625,75.67999999999999,78,78.61999999999999,78.85000000000001
8.4,71.2,75.38000000000001,77.6,78.26,78.4
8.5,70.75,75.12,77.1,78.125,78.16666666666667
8.6,70.35714285714286,74.69999999999999,76.86,77.68,77.98
8.7,69.9,74.16666666666667,76.625,77.44,77.6
8.8,69.55,73.9,76.35000000000001,77.2,77.25
8.9,69.225,73.58571428571429,75.95,76.83333333333334,77
9,68.97500000000001,73.17999999999999,75.675,76.47500000000001,76.65
9.1,68.55,72.8,75.4,76.2,76.24
9.2,68.075,72.52499999999999,75.1,75.875,76
9.3,67.64999999999999,72.21111111111111,74.69999999999999,75.58,75.75
9.4,67.3,71.85,74.3,75.30000000000001,75.47500000000001
9.5,66.9,71.525,74.05,75,75.14999999999999
9.6,66.5,71.225,73.8,74.6,74.9
9.7,66.24285714285713,70.8,73.4,74.3,74.6
9.8,65.8,70.55,73.03999999999999,74.05,74.2
9.9,65.30000000000001,70.2,72.75,73.8,73.85
10,65.1,69.80000000000001,72.425,73.5,73.6
10.1,64.65,69.5,72.12,73.225,73.36
10.2,64.325,69.15,71.825,72.875,73
10.3,63.975,68.75,71.575,72.55,72.8
10.4,63.625,68.47500000000001,71.14999999999999,72.3,72.5
10.5,63.3,68.125,70.9,72.06666666666666,72.1
10.6,62.93333333333333,67.875,70.64,71.7,71.83333333333333
10.7,62.5,67.45,70.3,71.4,71.6
