Percentage Depth Doses,,,,,
Wedge 15,,,,,
SSD=100cm,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,30x30cm2,40x30cm2
0,43.4,48.8,57.2,64.4,67
0.1,47.5,52.975,61.2,67.96666666666667,70.55
0.2,54.33333333333333,59.2,66.64,72.825,75.56
0.3,64.14,68.05,74.36,79.83333333333333,81.4
0.4,72.84,76.325,81.3,85.68,87.06666666666666
0.5,80.03999999999999,82.96666666666667,86.96666666666667,90.07499999999999,91.34
0.6,85.4,87.82000000000001,90.8,93.48,94.28
0.7,89.8,91.6,93.9,95.82,96.38000000000001
0.8,92.7,94,95.95,97.42,97.80000000000001
0.9,95.25999999999999,96.02,97.52,98.5,98.8
1,96.8,97.6,98.7,99.23333333333333,99.5
1.1,98.1,98.55000000000001,99.4,99.7,99.78
1.2,99.16,99.34,99.75999999999999,99.9,99.925
1.3,99.6,99.7,99.98,100,100
1.4,99.88000000000001,99.95,100,100,100
1.5,100,100,100,99.9,99.83333333333333
1.6,99.97500000000001,99.98,99.9,99.64,99.625
1.7,99.84,99.9,99.78,99.5,99.4
1.8,99.64,99.68,99.5,99.32000000000001,99.125
1.9,99.4,99.33333333333333,99.19999999999999,98.9,98.85714285714286
2,99.04,99.13333333333333,98.9,98.62,98.6
2.1,98.6,98.77499999999999,98.53333333333333,98.22,98.13333333333333
2.2,98.03999999999999,98.32000000000001,98.16,97.88000000000001,97.8
2.3,97.64,97.98,97.825,97.55,97.53333333333333
2.4,97.16,97.56666666666666,97.5,97.2,97.15
2.5,96.63333333333334,97.2,97.16666666666667,96.875,96.84
2.6,96.22,96.825,96.75,96.52,96.42
2.7,95.65,96.3,96.35,96.125,96.13333333333333
2.8,95.12,95.95,95.96000000000001,95.8,95.74000000000001
2.9,94.72500000000001,95.4,95.65,95.4,95.42500000000001
3,94.23333333333333,95.05,95.23333333333333,95.07499999999999,95.1
3.1,93.62,94.65,94.84,94.75999999999999,94.7
3.2,93.14999999999999,94.17999999999999,94.48,94.375,94.4
3.3,92.66,93.82,94.15,94.06666666666666,94
3.4,92.13333333333334,93.5,93.75999999999999,93.8,93.55
3.5,91.69999999999999,93,93.45,93.27499999999999,93.3
3.6,91.2,92.55,92.96000000000001,93,92.98
3.7,90.7,92.16,92.58,92.6,92.6
3.8,90.18571428571428,91.69999999999999,92.15,92.3,92.2
3.9,89.78,91.38,91.9,91.9,91.8
4,89.24,90.9,91.47999999999999,91.46,91.475
4.1,88.72,90.56666666666666,91.1,91.13333333333334,91.17999999999999
4.2,88.17999999999999,90.05,90.75,90.80000000000001,90.825
4.3,87.64999999999999,89.62,90.30000000000001,90.42,90.4
4.4,87.225,89.30000000000001,89.93333333333334,90.02,90.06666666666666
4.5,86.78,88.86,89.5,89.64999999999999,89.7
4.6,86.2,88.4,89.2,89.25,89.36666666666667
4.7,85.75,88,88.8,88.9,89.07499999999999
4.8,85.35,87.6,88.5,88.65,88.67999999999999
4.9,84.75999999999999,87.1,88.2,88.3,88.32
5,84.32000000000001,86.74000000000001,87.75,87.95,87.86
5.1,83.80000000000001,86.3,87.34,87.55,87.6
5.2,83.45,85.88000000000001,87,87.15,87.16666666666666
5.3,82.95,85.55,86.52,86.82000000000001,86.76666666666667
5.4,82.39999999999999,85.1,86.12,86.48,86.46
5.5,81.94,84.66,85.72,86.10000000000001,86.07499999999999
5.6,81.46000000000001,84.3,85.42500000000001,85.78,85.72
5.7,80.975,83.9,85.05,85.44,85.38
5.8,80.52,83.4,84.7,84.94285714285715,85.11999999999999
5.9,79.96,82.95,84.4,84.72,84.72
6,79.60000000000001,82.56,83.9,84.375,84.4
6.1,79,82.25,83.5,84.02,84.13333333333333
6.2,78.6,81.82000000000001,83.18,83.625,83.73333333333333
