Percentage Depth Doses,,,,,
Wedge 30,,,,,
SSD=100cm,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,30x30cm2,40x30cm2
0,42.5,48.1,56.8,65,68.1
0.1,47.766666666666666,53,61.55,69.4,72.54
0.2,56.6,61.2,68.72,75.85000000000001,78.125
0.3,66.66,71.05,77.35,82.5,84.42
0.4,74.95,78.325,83.5,87.775,89.225
0.5,81.6,84.12,88.5,91.7,93
0.6,86.5,88.675,92.05,94.64,95.5
0.7,90.65,92.26,94.725,96.65,97.25
0.8,93.42,94.7,96.55000000000001,98.125,98.47999999999999
0.9,95.7,96.625,97.9,98.9,99.1
1,97.3,97.9,98.925,99.53333333333333,99.6
1.1,98.46,98.775,99.5,99.8,99.9
1.2,99.225,99.52499999999999,99.825,100,100
1.3,99.72,99.825,99.94,100,100
1.4,99.9,99.96000000000001,100,99.98333333333333,99.9
1.5,100,100,100,99.9,99.8
1.6,99.96666666666667,99.95,99.88000000000001,99.575,99.53333333333333
1.7,99.86,99.7,99.55,99.4,99.18
1.8,99.63333333333333,99.58,99.3,99,98.96
1.9,99.36,99.32000000000001,99.05,98.8,98.58
2,99,98.88,98.66,98.475,98.35
2.1,98.64999999999999,98.5,98.42,98.13333333333333,97.975
2.2,98.175,98.1,98.05,97.77499999999999,97.62
2.3,97.62,97.8,97.72,97.45,97.24
2.4,97.1,97.45,97.325,97,96.9
2.5,96.64,97,96.96666666666667,96.73333333333333,96.55
2.6,96.19999999999999,96.66,96.6,96.375,96.25999999999999
2.7,95.85000000000001,96.25,96.175,95.95,95.85000000000001
2.8,95.4,95.85000000000001,95.75,95.58,95.43333333333334
2.9,94.7,95.35,95.4,95.19999999999999,95.175
3,94.30000000000001,95.03333333333333,95.1,94.84,94.78
3.1,93.78,94.57499999999999,94.65,94.46000000000001,94.45
3.2,93.3,94.14999999999999,94.28,94.1,94.15
3.3,92.9,93.75999999999999,93.9,93.75,93.66666666666667
3.4,92.35,93.33333333333334,93.53999999999999,93.4,93.38000000000001
3.5,91.9,92.95,93.1,93,92.975
3.6,91.43333333333334,92.46000000000001,92.73333333333333,92.72,92.62
3.7,90.9,92.08,92.43333333333334,92.36666666666667,92.22500000000001
3.8,90.4,91.72,91.9,91.9,91.9
3.9,89.82000000000001,91.24,91.57499999999999,91.55,91.6
4,89.45,90.75,91.14999999999999,91.3,91.16666666666667
4.1,88.95,90.35,90.77499999999999,90.85,90.8
4.2,88.5,90,90.48,90.56,90.46
4.3,87.94,89.53333333333333,90.1,90.15,90.05000000000001
4.4,87.475,89.1,89.72500000000001,89.825,89.69999999999999
4.5,87,88.72,89.33333333333333,89.4,89.35
4.6,86.56666666666666,88.25,88.9,89.03999999999999,88.96
4.7,86.02000000000001,87.9,88.55,88.6,88.65
4.8,85.66,87.5,88.1,88.38000000000001,88.25
4.9,85.24,87.14,87.82000000000001,88.05,87.93333333333334
5,84.7,86.64,87.42500000000001,87.67999999999999,87.5
5.1,83.96666666666667,86.25,87.2,87.19999999999999,87.1
5.2,83.56666666666666,85.8,86.75,86.825,86.77499999999999
5.3,83.2,85.475,86.4,86.54285714285714,86.375
5.4,82.675,85.02000000000001,85.96000000000001,86.15,86.08
5.5,82.175,84.5,85.65,85.72500000000001,85.77499999999999
5.6,81.6,84.25,85.16666666666666,85.55,85.46000000000001
5.7,81.28,83.98,84.86666666666667,85.19999999999999,85.12
5.8,80.94999999999999,83.44,84.56,84.84,84.75
5.9,80.3,83.04,84.19999999999999,84.36,84.35
6,79.86,82.74,83.66666666666666,83.95,84
6.1,79.5,82.23333333333333,83.34,83.7,83.7
6.2,78.95,81.69999999999999,82.975,83.36666666666667,83.35
6.3,78.6,81.42500000000001,82.65,82.95,82.94999999999999
6.4,78.08,81,82.325,82.675,82.65
6.5,77.7,80.65,81.9,82.38,82.4
6.6,77.1,80.3,81.6,82.02,82.02
6.7,76.8,79.8,81.2,81.66,81.63999999999999
6.8,76.19999999999999,79.5,80.86,81.25,81.33333333333333
6.9,75.925,79.125,80.5,81.02,80.95
7,75.46000000000001,78.75,80.14,80.625,80.6
7.1,75.05,78.23333333333333,79.88,80.26666666666667,80.35
7.2,74.52000000000001,77.97500000000001,79.58,80.01666666666667,79.97999999999999
7.3,74.08,77.64999999999999,79.13333333333333,79.6,79.65
7.4,73.75,77.24,78.86000000000001,79.32000000000001,79.325
7.5,73.35,76.82857142857142,78.4,78.93333333333334,78.95
7.6,72.95,76.36666666666667,78.16000000000001,78.675,78.625
7.7,72.5,76.04285714285714,77.78,78.35,78.4
7.8,72.06666666666666,75.66666666666666,77.45714285714286,78,78
7.9,71.6,75.3,77.03999999999999,77.65,77.64
8,71.25,74.95,76.66666666666667,77.3,77.325
8.1,70.88,74.47999999999999,76.4,76.95,76.94
8.2,70.42,74.16,76.08,76.61999999999999,76.675
8.3,69.92,73.69999999999999,75.64999999999999,76.24,76.36000000000001
8.4,69.5,73.4,75.34,76,76.075
8.5,69.125,73.05,75.05,75.63999999999999,75.75
8.6,68.73333333333333,72.69999999999999,74.56,75.3,75.3
8.7,68.36,72.30000000000001,74.30000000000001,74.97142857142858,75.03333333333333
8.8,68.03333333333333,71.95,73.92,74.66666666666666,74.76666666666667
8.9,67.7,71.64999999999999,73.53333333333333,74.325,74.38000000000001
9,67.14999999999999,71.2,73.2,74.05,74.075
9.1,66.76666666666667,70.875,72.8,73.64,73.75
9.2,66.36,70.5,72.6,73.44,73.375
9.3,65.93333333333334,70.13999999999999,72.2,73.06666666666666,73.1
9.4,65.53333333333333,69.775,71.9,72.73333333333333,72.75
9.5,65.12,69.4,71.6,72.38,72.38000000000001
9.6,64.725,69,71.32000000000001,72.11999999999999,72.17142857142858
9.7,64.3,68.56666666666666,71.06666666666666,71.73333333333333,71.86000000000001
9.8,64,68.3,70.7,71.4,71.45
9.9,63.68,67.95,70.3,71.1,71.14
10,63.25,67.58,69.97500000000001,70.78,70.8
10.1,62.8,67.3,69.64999999999999,70.52,70.56
10.2,62.3,66.8,69.2,70.14999999999999,70.28
10.3,62.05,66.5,69,69.8,70.1
10.4,61.660000000000004,66.19999999999999,68.7,69.56666666666666,69.6
10.5,61.3,65.8,68.4,69.22,69.2
10.6,61.025,65.45,67.92,68.9,69
10.7,60.580000000000005,65.1,67.65,68.575,68.7
10.8,60.3,64.92,67.4,68.275,68.38000000000001
10.9,59.9,64.53333333333333,67.13333333333333,67.98,68.15
11,59.580000000000005,64.225,66.85,67.7,67.85
11.1,59.3,63.9,66.5,67.36,67.52
11.2,58.839999999999996,63.62500000000001,66.16000000000001,67.1,67.24
11.3,58.5,63.14,65.76,66.8,66.9
11.4,58.21666666666667,62.74,65.45,66.46666666666667,66.6
11.5,57.839999999999996,62.4,65.11999999999999,66.2,66.31666666666666
11.6,57.550000000000004,62.12,64.8,65.96666666666667,66.1
11.7,57.15,61.7,64.5,65.64,65.8
11.8,56.766666666666666,61.46666666666667,64.16666666666666,65.35,65.575
11.9,56.480000000000004,61.2,63.93333333333333,65.03333333333333,65.22
12,56.1,60.9,63.66666666666667,64.725,64.9
12.1,55.849999999999994,60.6,63.4,64.44,64.65
12.2,55.46666666666667,60.24,63.080000000000005,64.16,64.46000000000001
12.3,55.160000000000004,59.919999999999995,62.82,63.84285714285714,64.05
12.4,54.9,59.62,62.53333333333333,63.6,63.68000000000001
12.5,54.56666666666667,59.4,62.2,63.3,63.45
12.6,54.225,58.95,61.919999999999995,63,63.22
12.7,53.95,58.650000000000006,61.660000000000004,62.775,62.94
12.8,53.65,58.425,61.39999999999999,62.5,62.75
12.9,53.324999999999996,58.06666666666666,61.150000000000006,62.225,62.38
13,52.93333333333333,57.8,60.849999999999994,61.95,62.150000000000006
13.1,52.6,57.46666666666666,60.6,61.64,61.82000000000001
13.2,52.324999999999996,57.1,60.3,61.3,61.525
13.3,52,56.83333333333333,59.96,61.1,61.3
13.4,51.85,56.56666666666666,59.64,60.78333333333333,61.016666666666666
13.5,51.54,56.2,59.324999999999996,60.6,60.81999999999999
13.6,51.26,55.88,59.019999999999996,60.26,60.6
13.7,50.9,55.56,58.8,59.95,60.28
13.8,50.44,55.324999999999996,58.525,59.68000000000001,59.93333333333333
13.9,50.14,55.04,58.2,59.45,59.62
14,49.81999999999999,54.725,57.86,59.160000000000004,59.349999999999994
14.1,49.6,54.525,57.64,58.9,59.11666666666667
14.2,49.28,54.25,57.4,58.650000000000006,58.849999999999994
14.3,49.05,53.88,57.25,58.45,58.6
14.4,48.7,53.63333333333334,56.824999999999996,58.125,58.32000000000001
14.5,48.46666666666667,53.32000000000001,56.483333333333334,57.9,58.04
14.6,48.233333333333334,53.08,56.3,57.650000000000006,57.8
14.7,47.94,52.824999999999996,56,57.349999999999994,57.4
14.8,47.64,52.5,55.8,57.1,57.28
14.9,47.349999999999994,52.25,55.4,56.8,57.075
15,47,51.9,55.2,56.56666666666667,56.779999999999994
15.1,46.7,51.575,54.96,56.3,56.48
15.2,46.6,51.36,54.675000000000004,56.075,56.22
15.3,46.260000000000005,51.05,54.4,55.82000000000001,55.925
15.4,45.95,50.824999999999996,54.160000000000004,55.54,55.7
15.5,45.68000000000001,50.5,53.925,55.2,55.46666666666667
15.6,45.4,50.25,53.675000000000004,55.080000000000005,55.220000000000006
15.7,45.150000000000006,49.96666666666667,53.42,54.85,54.980000000000004
15.8,44.919999999999995,49.7,53.083333333333336,54.53333333333334,54.78
15.9,44.675000000000004,49.45,52.9,54.3,54.46666666666667
16,44.349999999999994,49.14,52.6,54.042857142857144,54.2
16.1,44.16666666666667,48.879999999999995,52.3,53.775,54
16.2,43.88,48.62,52.1,53.525,53.775
16.3,43.650000000000006,48.375,51.839999999999996,53.3,53.52
16.4,43.239999999999995,48.13333333333334,51.6,53.025,53.260000000000005
16.5,43.06666666666666,47.849999999999994,51.349999999999994,52.81999999999999,53.05
16.6,42.8,47.6,51.12,52.6,52.8
16.7,42.54,47.5,50.916666666666664,52.3,52.620000000000005
16.8,42.3,47.18000000000001,50.75,52.1,52.38
16.9,42.1,46.975,50.425,51.88,52.14
17,41.83333333333333,46.660000000000004,50.160000000000004,51.6,51.8
17.1,41.61666666666667,46.36,49.9,51.44,51.575
17.2,41.4,46.125,49.64,51.2,51.349999999999994
17.3,41.1,45.9,49.46,50.975,51.06666666666666
17.4,40.86666666666666,45.68000000000001,49.239999999999995,50.720000000000006,50.9
17.5,40.6,45.375,48.95,50.5,50.733333333333334
17.6,40.46666666666667,45.160000000000004,48.739999999999995,50.260000000000005,50.5
17.7,40.175000000000004,44.95,48.54,50.050000000000004,50.3
17.8,39.925,44.72,48.3,49.760000000000005,49.9
17.9,39.72,44.5,48.05,49.64,49.81999999999999
18,39.519999999999996,44.2,47.75,49.31999999999999,49.62
18.1,39.33333333333333,44.019999999999996,47.6,49.160000000000004,49.339999999999996
18.2,39.04,43.849999999999994,47.36,48.925,49.1
18.3,38.824999999999996,43.63333333333333,47.14,48.62,48.875
18.4,38.583333333333336,43.339999999999996,46.925,48.45,48.67142857142858
18.5,38.375,43.13333333333333,46.660000000000004,48.266666666666666,48.475
18.6,38.125,42.86,46.425,47.95,48.14
18.7,37.88,42.66666666666667,46.2,47.8,47.98
18.8,37.7,42.379999999999995,46,47.56,47.739999999999995
18.9,37.375,42.019999999999996,45.75,47.3,47.525
19,37.225,41.875,45.6,47.075,47.3
19.1,37,41.65,45.36,46.8,47.08
19.2,36.8,41.5,45.06666666666667,46.6,46.9
19.3,36.64,41.275,44.9,46.425,46.725
19.4,36.425,41.06666666666667,44.725,46.2,46.44
19.5,36.2,40.824999999999996,44.475,45.95,46.25
19.6,35.975,40.525,44.220000000000006,45.739999999999995,46.1
19.7,35.766666666666666,40.349999999999994,44.019999999999996,45.6,45.9
19.8,35.580000000000005,40.150000000000006,43.81999999999999,45.38,45.6
19.9,35.4,39.88,43.63333333333333,45.2,45.36
20,35.160000000000004,39.7,43.419999999999995,44.93333333333333,45.160000000000004
20.1,34.94,39.46,43.2,44.67999999999999,44.9
20.2,34.733333333333334,39.239999999999995,42.9,44.44,44.760000000000005
