Percentage Depth Doses,,,,
Wedge 45,,,,
SSD=100cm,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,40x20cm2
0,40.5,46,54.4,58.2
0.1,46.36666666666667,51.26,59.54,62.4
0.2,55.214285714285715,59.714285714285715,66.65,67.6
0.3,66.3,69.69999999999999,75.10000000000001,74.45
0.4,74.60000000000001,77.6,82.15,80.825
0.5,81.85,83.8,87.14,86.12
0.6,86.46000000000001,88.4,91,90.425
0.7,90.5,91.86666666666666,93.83999999999999,93.44
0.8,93.46,94.5,96.01666666666667,95.75
0.9,95.8,96.34,97.56666666666666,97.28
1,97.25,97.7,98.6,98.42
1.1,98.41666666666667,98.6,99.19999999999999,99.19999999999999
1.2,99.10000000000001,99.4,99.7,99.6
1.3,99.66,99.825,99.95,99.85
1.4,99.96666666666667,99.9,100,100
1.5,100,100,100,100
1.6,99.97142857142858,99.98,99.9,99.9
1.7,99.8,99.875,99.74,99.675
1.8,99.57499999999999,99.69999999999999,99.58,99.52
1.9,99.26666666666667,99.36666666666666,99.25999999999999,99.36
2,99.01666666666667,99.06666666666666,98.75,99.02
2.1,98.55,98.75,98.6,98.75
2.2,98.33333333333334,98.32000000000001,98.25,98.3
2.3,97.67999999999999,97.9,97.9,97.94999999999999
2.4,97.14,97.44,97.45,97.6
2.5,96.74,97.14,97.06666666666666,97.27499999999999
2.6,96.19999999999999,96.75,96.86,96.975
2.7,95.66,96.33333333333334,96.525,96.67999999999999
2.8,95.30000000000001,95.85,95.975,96.2
2.9,94.76,95.6,95.55,95.85
3,94.30000000000001,95.075,95.25,95.5
3.1,93.91666666666667,94.75999999999999,94.84,95.2
3.2,93.2,94.3,94.6,94.7
3.3,92.9,93.94,94.08,94.34
3.4,92.4,93.5,93.7,93.9
3.5,91.9,92.97999999999999,93.38000000000001,93.56
3.6,91.45,92.58,93.05,93.13333333333334
3.7,91,92.14999999999999,92.65,92.9
3.8,90.5,91.76666666666667,92.25,92.54
3.9,90,91.35000000000001,91.95,92.1
4,89.58,91.06,91.53999999999999,91.78
4.1,89.02,90.64,91.2,91.35
4.2,88.45,90.22500000000001,90.85,91
4.3,88.06,89.85000000000001,90.38,90.75
4.4,87.63333333333333,89.4,90,90.28
4.5,87.1,88.9,89.66666666666666,90
4.6,86.675,88.44,89.2,89.56666666666666
4.7,86.35,88.06666666666666,88.95,89.30000000000001
4.8,85.8,87.825,88.6,88.83333333333334
4.9,85.14999999999999,87.45,88.3,88.6
5,84.7,87.025,87.86666666666667,88.30000000000001
5.1,84.23333333333333,86.46666666666667,87.4,87.84
5.2,83.94,86.1,87.06,87.4
5.3,83.36,85.73333333333333,86.68,87.06
5.4,83,85.36,86.35,86.75
