Percentage Depth Doses,,,,,
Wedge 30,,,,,
SSD=120cm,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,30x30cm2,40x30cm2
11.2,61.6,66.425,69.075,70.23333333333333,70.41666666666667
11.3,61.1,66.175,68.825,69.86666666666667,70.1125
11.4,60.7,65.9,68.55,69.6,69.725
11.5,60.375,65.47500000000001,68.225,69.36666666666667,69.48
11.6,60.125,65.14,67.97500000000001,69.15,69.225
11.7,59.775,64.74,67.7,68.8,68.98
11.8,59.55,64.5,67.45,68.6,68.65
11.9,59.175000000000004,64.25,67.1,68.25,68.47500000000001
12,58.88,63.949999999999996,66.78,67.925,68.15
12.1,58.5,63.65,66.5,67.675,67.875
12.2,58.349999999999994,63.3,66.25,67.35,67.625
12.3,57.9,62.855555555555554,65.9,67.075,67.3
12.4,57.5,62.5875,65.65,66.75,67.05
12.5,57.2,62.25714285714286,65.4,66.47500000000001,66.72
12.6,56.95,62.025,64.97500000000001,66.34,66.55
12.7,56.666666666666664,61.86,64.725,65.97500000000001,66.325
12.8,56.3,61.449999999999996,64.45,65.8,65.95
12.9,55.95,61.2,64.15,65.5,65.7
13,55.7,60.7,63.9,65.25,65.425
13.1,55.25,60.5,63.650000000000006,64.9,65.15
13.2,55.1,60.2,63.5,64.6,64.97500000000001
13.3,54.95,60.05,63.150000000000006,64.35,64.7
13.4,54.525,59.733333333333334,62.9,64.2,64.4
13.5,54.075,59.3,62.58571428571428,63.975,64.1
13.6,53.824999999999996,59.075,62.322222222222216,63.7,63.8
13.7,53.625,58.8,62.150000000000006,63.3,63.55
13.8,53.3,58.575,61.824999999999996,63.05,63.2
13.9,52.9,58.14,61.6,62.875,63.05
14,52.725,57.9,61.3,62.625,62.8
14.1,52.35,57.650000000000006,60.96,62.28,62.5
14.2,52.03333333333333,57.45,60.75,62.04,62.2
14.3,51.9,57.1,60.5,61.775,62.1
14.4,51.55,56.849999999999994,60.075,61.525,61.75
14.5,51.324999999999996,56.6,59.94,61.266666666666666,61.5
14.6,51.050000000000004,56.349999999999994,59.7,60.980000000000004,61.2
14.7,50.7,55.9,59.4,60.733333333333334,61.05
14.8,50.349999999999994,55.56,59.2,60.5,60.7
14.9,50.1,55.419999999999995,58.95,60.3,60.5
15,49.75,55.06,58.5,60,60.2
15.1,49.4,54.824999999999996,58.25,59.650000000000006,60
15.2,49.25,54.6,58,59.4,59.725
15.3,49,54.36,57.849999999999994,59.06,59.43333333333333
15.4,48.775,54.025,57.6,58.925,59.1
15.5,48.525,53.775,57.25,58.575,58.875
15.6,48.2,53.5,57.1,58.425,58.7
15.7,48.05,53.233333333333334,56.875,58.275,58.46666666666667
15.8,47.733333333333334,52.975,56.55,57.949999999999996,58.2
15.9,47.5,52.725,56.275,57.7,57.95
16,47.150000000000006,52.575,56.025,57.525,57.7
16.1,46.96666666666667,52.339999999999996,55.733333333333334,57.25,57.5
16.2,46.63333333333333,52,55.580000000000005,57,57.3
16.3,46.3,51.75,55.349999999999994,56.824999999999996,57.150000000000006
16.4,46.1,51.4,55.050000000000004,56.575,56.85
16.5,45.9,51.150000000000006,54.8,56.225,56.55
16.6,45.650000000000006,50.9,54.6,56,56.3
16.7,45.4,50.650000000000006,54.3,55.839999999999996,56.050000000000004
16.8,45.150000000000006,50.419999999999995,54.1,55.56666666666666,55.8
16.9,44.9,50.175000000000004,53.849999999999994,55.3625,55.625
17,44.65,49.925,53.6,55.13333333333333,55.4
17.1,44.5,49.575,53.349999999999994,54.82857142857142,55.16666666666667
17.2,44.12500000000001,49.349999999999994,53.2,54.57777777777778,54.9
17.3,43.8,49.1,52.95,54.4,54.725
17.4,43.55,48.95,52.72,54.2,54.5
17.5,43.4,48.7,52.475,54.05,54.349999999999994
17.6,43.075,48.55,52.2,53.8,54.1
17.7,42.925,48.3,52,53.575,53.849999999999994
17.8,42.6,47.96,51.666666666666664,53.3,53.6
17.9,42.3,47.725,51.475,53.050000000000004,53.45
18,42.175000000000004,47.475,51.225,52.8,53.1
18.1,41.975,47.225,51,52.7,52.9
18.2,41.650000000000006,47.075,50.725,52.45,52.7
18.3,41.5,46.925,50.5,52.1,52.449999999999996
18.4,41.2,46.66666666666667,50.3,51.9,52.275
18.5,41,46.419999999999995,50.150000000000006,51.7,52.025
18.6,40.775,46.25,49.9,51.46,51.775
18.7,40.6,45.925,49.66666666666667,51.225,51.525
18.8,40.349999999999994,45.675000000000004,49.4,51.075,51.4
18.9,40.06666666666667,45.525,49.2,50.824999999999996,51.13333333333333
19,39.8,45.275,49,50.583333333333336,50.8
19.1,39.7,44.96666666666667,48.849999999999994,50.375,50.7
19.2,39.425,44.8,48.542857142857144,50.2,50.449999999999996
19.3,39.25,44.53333333333333,48.3,49.95,50.3
19.4,39.025,44.375,48.06,49.68571428571429,50
19.5,38.775,44.1,47.9,49.5,49.82000000000001
19.6,38.6,43.9,47.675000000000004,49.285714285714285,49.6
19.7,38.4,43.6,47.425,49.1,49.425000000000004
19.8,38.18000000000001,43.4,47.2,48.849999999999994,49.13333333333333
19.9,37.980000000000004,43.22,46.95,48.65714285714286,49.03333333333333
20,37.733333333333334,43,46.7,48.375,48.8
20.1,37.575,42.72,46.650000000000006,48.125,48.5
20.2,37.349999999999994,42.575,46.4,47.975,48.3
20.3,37.075,42.324999999999996,46.175000000000004,47.849999999999994,48.1
20.4,36.980000000000004,42.175000000000004,46,47.6,47.9
20.5,36.650000000000006,41.925,45.82000000000001,47.4,47.7
20.6,36.5,41.625,45.56666666666667,47.2,47.56
20.7,36.349999999999994,41.480000000000004,45.333333333333336,47.075,47.3
20.8,36.2,41.25,45.05,46.824999999999996,47.2
20.9,35.849999999999994,41.1,44.9,46.6,47.025
21,35.7,40.95,44.725,46.425,46.7
21.1,35.56,40.7,44.475,46.18000000000001,46.6
21.2,35.375,40.55,44.225,46.05,46.35
21.3,35.225,40.3,44.1,45.86666666666667,46.2
21.4,34.975,40.06,43.925,45.7,45.975
21.5,34.824999999999996,39.9,43.7,45.45,45.725
21.6,34.575,39.675000000000004,43.55,45.2,45.575
21.7,34.425,39.53333333333333,43.3,45.01428571428571,45.324999999999996
21.8,34.2,39.3,43.05,44.775,45.175000000000004
21.9,34.025,39.150000000000006,42.9,44.6,45
22,33.88,38.88,42.75,44.425,44.8
22.1,33.733333333333334,38.7,42.5,44.275,44.55
22.2,33.6,38.4,42.3,44.025,44.4
22.3,33.349999999999994,38.25,42.1,43.8375,44.2
22.4,33.1,38.1,41.93333333333333,43.644444444444446,44.1
22.5,32.975,37.95,41.8,43.48888888888889,43.9
22.6,32.8,37.7,41.625,43.34285714285714,43.6
22.7,32.575,37.56,41.475,43.03333333333333,43.45
22.8,32.425,37.4,41.225,42.81428571428571,43.3
22.9,32.3,37.3,41,42.67142857142858,43.1
