Percentage Depth Doses,,,,
Wedge 60,,,,
SSD=80cm,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,
Depth [cm],4x4cm2,10x10cm2,15x15cm2,15x40cm2
0,38,44.9,51.4,60.9
0.1,42.650000000000006,49.3,55.66,64.9
0.2,48.5,55.2,61.7,70.1
0.3,58.85,63.95,69.22500000000001,76.3875
0.4,68.4,73.2,77.075,82.925
0.5,77.1,80.35,83.875,88.2375
0.6,83.04,86.05,88.92500000000001,92.15
0.7,87.975,90.3,92.46666666666667,94.83333333333333
0.8,91.725,93.46000000000001,95,96.75
0.9,94.45,95.9,97.02,98.175
1,96.35000000000001,97.3,98.36,99.02499999999999
1.1,97.925,98.575,99.275,99.64
1.2,98.925,99.35,99.7,99.9
1.3,99.55,99.77142857142857,99.9,100
1.4,99.875,99.95714285714286,100,100
1.5,100,100,100,99.9
1.6,100,99.97500000000001,99.92500000000001,99.7
1.7,99.8,99.75,99.8,99.45
1.8,99.55,99.6125,99.43333333333334,99.1
1.9,99.33333333333334,99.2,99.12,98.68571428571428
2,98.7625,98.9,98.67999999999999,98.3
2.1,98.35,98.3,98.2,98
2.2,97.92857142857143,97.94999999999999,97.9,97.55
2.3,97.5,97.4,97.39999999999999,97.1
2.4,96.9,96.95,96.925,96.65
2.5,96.44999999999999,96.55,96.61999999999999,96.2
2.6,95.8,96.05,96.02499999999999,95.75
2.7,95.35,95.55,95.64,95.4
2.8,94.7,95.22,95.2,94.9
2.9,94.23333333333333,94.64999999999999,94.78571428571429,94.4
3,93.74000000000001,94.23333333333333,94.24285714285713,93.96000000000001
3.1,93.175,93.75,93.85000000000001,93.6
3.2,92.64999999999999,93.35714285714286,93.35,93.25
3.3,92.06666666666666,92.85714285714286,92.875,92.75
3.4,91.52499999999999,92.5,92.65,92.26666666666667
3.5,91.08,91.9,92,91.8
3.6,90.46,91.5,91.6,91.5
3.7,89.94999999999999,91,91.2,91
3.8,89.5,90.56666666666666,90.75,90.6
3.9,88.9,90,90.3,90.14
4,88.3,89.6,89.88,89.65
4.1,87.96666666666667,89.1,89.4,89.26
4.2,87.30000000000001,88.6,88.88,88.95
4.3,86.8,88.2,88.525,88.4
4.4,86.30000000000001,87.75,88.05,87.9
4.5,85.8,87.3,87.65,87.6
4.6,85.36,86.85000000000001,87.28,87.07499999999999
4.7,84.8,86.48,86.8,86.75
4.8,84.28,86.06666666666666,86.4,86.35
4.9,83.8,85.53333333333333,86,85.93333333333334
5,83.27499999999999,84.97500000000001,85.46000000000001,85.43333333333334
5.1,82.85,84.65,85.05,85
5.2,82.225,84.175,84.66666666666667,84.625
5.3,81.67999999999999,83.85,84.15,84.15
5.4,81.07499999999999,83.27499999999999,83.925,83.825
5.5,80.64999999999999,82.8125,83.34,83.45
5.6,80.1,82.28571428571429,82.875,83.03333333333333
5.7,79.75,81.9,82.5,82.69999999999999
5.8,79.26666666666667,81.5,81.975,82.25
5.9,78.6,81.1,81.69999999999999,81.8
6,78.16000000000001,80.5,81.3,81.42500000000001
6.1,77.7,80.125,80.9,81.1
6.2,77.25,79.825,80.4,80.6
6.3,76.69999999999999,79.375,80.1,80.19999999999999
6.4,76.4,79.02499999999999,79.7,79.8
6.5,75.8,78.5,79.25,79.6
6.6,75.30000000000001,78.05,78.85,79.03999999999999
6.7,74.83333333333333,77.6,78.5,78.66
6.8,74.46666666666667,77.35,78.15,78.26666666666667
6.9,74,76.8,77.7,77.875
7,73.53999999999999,76.4,77.2,77.5
7.1,73.15,76.02499999999999,76.925,77.1
7.2,72.75,75.56666666666666,76.5,76.74285714285713
7.3,72.25,75.16666666666667,76.1,76.4
7.4,71.80000000000001,74.66666666666666,75.7,75.92
7.5,71.4,74.2,75.2625,75.6
7.6,70.9,73.83333333333333,74.85,75.2
7.7,70.48,73.48,74.53999999999999,74.80000000000001
7.8,70,73.05,74.2,74.47500000000001
7.9,69.54285714285714,72.74,73.80000000000001,74.06666666666666
8,69.1,72.3,73.3,73.7
8.1,68.775,71.95,72.95,73.35
8.2,68.43333333333334,71.5,72.6,73.1
8.3,67.95,71.12,72.33333333333333,72.65
8.4,67.45,70.725,71.80000000000001,72.275
8.5,67.15,70.35000000000001,71.5,71.9
8.6,66.6,69.88,71.15,71.5
