Lateral Profiles,,,,,,,,,,,,,,,,,,,,
Wedge 60,,,,,,,,,,,,,,,,,,,,
SSD=100cm,,,,,,,,,,,,,,,,,,,,
Scanning direction: Crossline,,,,,,,,,,,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,,,,,,,,,,,
,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,,Dose[%],,,
Off axis position [cm],Depth:1.5 cm FieldSize:4x4 cm2,Depth:1.5 cm FieldSize:10x10 cm2,Depth:1.5 cm FieldSize:15x15 cm2,Depth:1.5 cm FieldSize:40x15 cm2,Depth:5 cm FieldSize:4x4 cm2,Depth:5 cm FieldSize:10x10 cm2,Depth:5 cm FieldSize:15x15 cm2,Depth:5 cm FieldSize:40x15 cm2,Depth:10 cm FieldSize:4x4 cm2,Depth:10 cm FieldSize:10x10 cm2,Depth:10 cm FieldSize:15x15 cm2,Depth:10 cm FieldSize:40x20 cm2,Depth:20 cm FieldSize:4x4 cm2,Depth:20 cm FieldSize:10x10 cm2,Depth:20 cm FieldSize:15x15 cm2,Depth:20 cm FieldSize:40x15 cm2,Depth:30 cm FieldSize:4x4 cm2,Depth:30 cm FieldSize:10x10 cm2,Depth:30 cm FieldSize:15x15 cm2,Depth:30 cm FieldSize:40x15 cm2
-14.7,,,,,,,,,,,,,,,,,,,15.433333333333334,21.275000000000002
-14.6,,,,,,,,,,,,,,,,,,,15.75,21.575000000000003
-14.5,,,,,,,,,,,,,,,,,,,16.033333333333335,21.75
-14.4,,,,,,,,,,,,,,,,,,,16.233333333333334,22
-14.3,,,,,,,,,,,,,,,,,,,16.4,22.3
-14.2,,,,,,,,,,,,,,,,,,,16.62,22.550000000000004
-14.1,,,,,,,,,,,,,,,,,,,16.866666666666667,22.9
-14,,,,,,,,,,,,,,,,,,,17.1,23.166666666666668
-13.9,,,,,,,,,,,,,,,12.4,17.519174999999997,,,17.466666666666665,23.4
-13.8,,,,,,,,,,,,,,,12.566666666666666,17.719099999999997,,,17.8,23.7
-13.7,,,,,,,,,,,,,,,12.75,17.894,,,18.080000000000002,24
-13.6,,,,,,,,,,,,,,,12.975000000000001,18.2139,,,18.3,24.366666666666667
-13.5,,,,,,,,,,,,,,,13.124999999999998,18.3939,,,18.566666666666666,24.7
-13.4,,,,,,,,,,,,,,,13.375000000000002,18.5938,,,19,24.866666666666667
-13.3,,,,,,,,,,,,,,,13.6,18.8937,,,19.1,25.1
-13.2,,,,,,,,,,,8.6,12.9,,,13.9,19.1436,,,19.4,25.5
-13.1,,,,,,,,,,,8.7,13.149999999999999,,,14.149999999999999,19.2936,,,19.533333333333335,25.8
-13,,,,,,,,,,,8.924999999999999,13.325,,,14.350000000000001,19.4935,,,19.749999999999996,26.05
-12.9,,,,,,,,,,,9.1,13.475000000000001,,,14.6,19.7934,,,20.075000000000003,26.46
-12.8,,,,,,,6.9,11,,,9.224999999999998,13.6,,,14.724999999999998,20.0733,,,20.54,26.833333333333332
-12.7,,,,,,,7.024999999999999,11.1,,,9.333333333333332,13.8,,,15.1,20.4182,,,20.950000000000003,27.175
-12.6,,,6.4,,,,7.15,11.26666666666667,,,9.55,14,,,15.24,20.668100000000003,,,21.4,27.46666666666667
-12.5,,,6.424999999999999,10.424999999999999,,,7.25,11.4,,,9.75,14.149999999999999,,,15.55,20.918,,,21.6,27.73333333333333
-12.4,,,6.566666666666668,10.6,,,7.4,11.5,,,9.95,14.3,,,15.825,21.14295,,,21.96666666666667,28.4
-12.3,,,6.6,10.7,,,7.5,11.7,,,10.1,14.6,,,16.150000000000002,21.4928,,,22.35,28.675
-12.2,,,6.719999999999999,10.8,,,7.6,11.8,,,10.3,14.8,,,16.5,21.9127,,,22.7,29.03333333333333
-12.1,,,6.8199999999999985,10.9,,,7.8,11.95,,,10.55,14.95,,,16.775000000000002,22.1426,,,23.133333333333333,29.4
-12,,,6.95,11.1,,,7.9,12.1,,,10.73333333333333,15.3,,,17.050000000000004,22.4925,,,23.5,29.724999999999998
-11.9,,,7.024999999999999,11.2,,,8.05,12.23333333333333,,,10.9,15.466666666666663,,,17.375,22.89235,,,23.749999999999996,30.1
-11.8,,,7.1,11.224999999999998,,,8.23333333333333,12.38,,,11.1,15.724999999999998,,,17.8,23.1923,,,24.23333333333333,30.6
-11.7,,,7.3,11.375000000000002,,,8.3,12.624999999999998,,,11.349999999999998,15.924999999999999,,,18.050000000000004,23.55883333333333,,,24.76666666666667,30.975
-11.6,,,7.4,11.533333333333331,,,8.4,12.8,,,11.6,16.175,,,18.433333333333337,23.992,,,25.23333333333333,31.366666666666667
