Output factors,,,,,,,
Wedge 60 R,,,,,,,
SSD=95cm,,,,,,,
Depth=5cm,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,
,,Field size X [cm],,,,,
Field Size Y [cm],,3,4.0,5.0,7.0,10.0,15.0
,3.0,0.878,0.888,0.896,0.906,0.913,0.921
,4.0,0.89,0.903,0.912,0.924,0.934,0.943
,5.0,0.897,0.913,0.924,0.939,0.95,0.962
,7.0,0.91,0.929,0.942,0.96,0.976,0.992
,10.0,0.921,0.942,0.958,0.981,1.0,1.022
,15.0,0.931,0.955,0.972,0.999,1.027,1.055
,20.0,0.936,0.962,0.983,1.012,1.043,1.077
,30.0,0.944,0.972,0.995,1.028,1.064,1.107
,40.0,0.949,0.978,1.001,1.037,1.077,1.124
