Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=1.5cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-10.9,,,,,,9.679999999999994,103.5,104.1
-10.8,,,,,,10.6,103.5,104.1
-10.7,,,,,,12.19999999999999,103.5,104
-10.6,,,,,,15.033333333333351,103.5,104
-10.5,,,,,,20.1,103.5,104
-10.4,,,,,,28.26666666666671,103.5,104
-10.3,,,,,,39.16666666666672,103.5,103.9
-10.2,,,,,,51.2,103.5,103.8
-10.1,,,,,,62.475000000000044,103.5,103.8
-10,,,,,1.7,73.96666666666663,103.5,103.8
-9.9,,,,,1.7,84.47500000000004,103.5,103.8
-9.8,,,,,1.8,91.50000000000003,103.5,103.8
-9.7,,,,,1.8,95.64999999999999,103.5,103.8
-9.6,,,,,1.8,97.70000000000002,103.4,103.7
-9.5,,,,,1.9,98.89999999999999,103.4,103.7
-9.4,,,,,1.9,99.65,103.4,103.7
-9.3,,,,,1.95,100.25,103.4,103.7
-9.2,,,,,2,100.53333333333333,103.4,103.6
-9.1,,,,,2.033333333333332,100.9,103.4,103.6
-9,,,,1.3,2.1,101.13333333333333,103.4,103.6
-8.9,,,,1.4,2.1,101.3,103.4,103.5
-8.8,,,,1.4,2.2,101.5,103.4,103.5
-8.7,,,,1.4,2.2,101.6,103.4,103.5
-8.6,,,,1.45,2.3,101.7,103.4,103.5
-8.5,,,,1.5,2.3499999999999996,101.75,103.34,103.4
-8.4,,,,1.5,2.4,101.825,103.3,103.4
-8.3,,,,1.5,2.5,101.9,103.3,103.4
-8.2,,,,1.6,2.524999999999999,102.1,103.3,103.3
-8.1,,,,1.6,2.6,102.1,103.3,103.3
-8,,,1,1.6,2.7,102.2,103.3,103.3
-7.9,,,1,1.7,2.8,102.2,103.2,103.3
-7.8,,,1,1.7,2.9,102.3,103.2,103.3
-7.7,,,1,1.8,2.9,102.3,103.2,103.3
-7.6,,,1.1,1.8,3.033333333333332,102.3,103.2,103.2
-7.5,,,1.1,1.9,3.1666666666666683,102.3,103.2,103.2
-7.4,,,1.1,1.9,3.2,102.3,103.2,103.1
-7.3,,,1.1,1.975000000000001,3.4,102.4,103.1,103.1
-7.2,,,1.1,2,3.4800000000000013,102.4,103.1,103.1
-7.1,,,1.2,2.1,3.6,102.4,103.1,103
-7,,0.7,1.2,2.1,3.7,102.4,103.1,103
-6.9,,0.7,1.2,2.2,3.9,102.4,103.1,103
-6.8,,0.7,1.3,2.3,4,102.4,103.03999999999999,103
-6.7,,0.7,1.3,2.4,4.133333333333332,102.5,103,102.9
-6.6,,0.7,1.3,2.4,4.324999999999999,102.5,103,102.86
-6.5,0.5,0.7,1.4,2.5,4.45,102.5,103,102.8
-6.4,0.5,0.7,1.4,2.6,4.65,102.5,102.9,102.8
-6.3,0.5,0.8,1.5,2.7,4.9,102.5,102.9,102.8
-6.2,0.55,0.8,1.5,2.8,5.05,102.5,102.9,102.8
-6.1,0.6,0.8,1.55,2.9,5.433333333333334,102.5,102.88571428571429,102.7
-6,0.6,0.8,1.6,3.0250000000000004,5.800000000000001,102.4,102.8,102.7
-5.9,0.6,0.8,1.7,3.1,6.3,102.4,102.8,102.7
-5.8,0.6,0.9,1.7,3.2666666666666666,6.933333333333334,102.4,102.8,102.6
-5.7,0.6,0.9,1.8,3.4,8.033333333333333,102.4,102.78,102.6
-5.6,0.6,0.9,1.9,3.5749999999999997,9.666666666666666,102.4,102.7,102.53333333333333
-5.5,0.6,0.9,1.9,3.7,12.433333333333334,102.4,102.7,102.5
-5.4,0.6,0.9,1.95,3.833333333333333,18.1,102.4,102.68,102.5
-5.3,0.7,0.9333333333333333,2,4.04,26.666666666666668,102.4,102.6,102.4
-5.2,0.7,1,2.1,4.3,37.67500000000002,102.4,102.58571428571427,102.4
-5.1,0.7,1,2.2,4.6,49.90000000000002,102.3,102.5,102.34
-5,0.7,1.0333333333333334,2.3,4.866666666666666,61.4,102.3,102.5,102.3
-4.9,0.7,1.1,2.4,5.340000000000001,73.53333333333333,102.2,102.45,102.3
-4.8,0.7,1.1,2.5,5.924999999999999,82.9,102.2,102.36,102.2
-4.7,0.7,1.1,2.6,6.8,90.6,102.1,102.3,102.11999999999999
-4.6,0.8,1.2,2.75,8.299999999999999,94.76666666666667,102.05,102.25,102.03999999999999
-4.5,0.8,1.2,2.8,10.766666666666666,96.73333333333333,102,102.2,101.93333333333334
-4.4,0.8,1.3,3,15.4,98,101.96000000000001,102.06,101.8
