Percentage Depth Doses,,,,,
Wedge 15,,,,,
SSD=80cm,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,
Depth [cm],4x4cm2,10x10cm2,20x20cm2,30x30cm2,40x30cm2
0,45.3,51.9,63.8,73.3,76.7
0.1,50.35,57,68.2,77.65,80.5
0.2,58.8,64.55,75.05,82.67142857142856,85.3
0.3,69.4,73.975,82.8,88.37777777777778,90.64999999999999
0.4,77.85,81.36666666666666,88.1,92.45,94.15
0.5,84.125,87.125,92.025,95.44999999999999,96.5
0.6,88.44999999999999,90.93333333333332,94.83333333333333,97.39999999999999,98.025
0.7,92,93.85,96.825,98.69999999999999,99
0.8,94.75,96.16,98.19999999999999,99.475,99.64285714285714
0.9,96.7,97.75,99.125,99.875,99.9
1,98.15,98.8,99.75,100,100
1.1,99.1,99.55000000000001,99.97500000000001,100,100
1.2,99.7,99.9,100,100,99.93333333333334
1.3,99.9,100,100,99.8625,99.69999999999999
1.4,100,100,99.94,99.575,99.45
1.5,100,99.94,99.7,99.28,99.0625
1.6,99.9,99.7,99.34,98.92500000000001,98.75714285714285
1.7,99.6,99.5,99.1,98.65,98.34
1.8,99.27499999999999,99.2,98.6,98.15,98.0125
1.9,98.85,98.7,98.2,97.825,97.6375
2,98.375,98.4,97.85,97.27499999999999,97.25
2.1,97.95,97.88571428571429,97.5,96.96666666666667,96.7875
2.2,97.325,97.5,97.02,96.55000000000001,96.4
2.3,96.75,97.05,96.5,96.175,95.95
2.4,96.3,96.475,96.13333333333333,95.8,95.6
2.5,95.76666666666667,95.95,95.64999999999999,95.30000000000001,95.1
2.6,95.2,95.57499999999999,95.175,94.8,94.73333333333333
2.7,94.69999999999999,95.08,94.75,94.45,94.30000000000001
2.8,94.1,94.65,94.35000000000001,94.05,93.92
2.9,93.55000000000001,94.1,93.95,93.7,93.55
3,93,93.7,93.5,93.15,93
3.1,92.4,93.1,93.05,92.75,92.65
3.2,91.8,92.7,92.6,92.3,92.2
3.3,91.35,92.19999999999999,92.15,91.95,91.82000000000001
3.4,90.9,91.7,91.65,91.5,91.4
3.5,90.23333333333333,91.25,91.25,91.05,91.05
3.6,89.66,90.85,90.86666666666667,90.7,90.55000000000001
3.7,89.15,90.33333333333334,90.4,90.27499999999999,90.16250000000001
3.8,88.575,89.875,89.95,89.85,89.75
3.9,88.03333333333333,89.33333333333333,89.5,89.35000000000001,89.3125
4,87.45,88.8,89.13333333333333,88.9875,88.85
4.1,86.85,88.46666666666667,88.65,88.55,88.46000000000001
4.2,86.375,87.92500000000001,88.3,88.17999999999999,88.1
4.3,85.92,87.46666666666667,87.8,87.7625,87.7
4.4,85.25,86.95,87.35,87.35,87.30000000000001
4.5,84.72,86.65,87,86.92857142857143,86.8
4.6,84.32,86.1,86.58,86.5,86.46666666666667
4.7,83.72857142857143,85.6,86.1,86.15,86.06666666666666
4.8,83.1,85.05714285714286,85.6,85.77142857142857,85.7
4.9,82.65,84.69999999999999,85.2,85.27499999999999,85.2
5,82.1,84.2,84.76,84.95,84.85
5.1,81.55,83.75,84.35,84.5,84.5
5.2,81.06,83.23333333333333,84,84.1,84.15
5.3,80.52499999999999,82.8,83.55,83.7,83.7
5.4,80.125,82.27499999999999,83.13333333333333,83.19999999999999,83.26666666666667
5.5,79.45,81.95,82.76666666666667,82.8,82.9
5.6,78.9,81.45,82.35,82.4,82.5
5.7,78.5,80.94,81.85000000000001,82.05,82.1
