Percentage Depth Doses,,,,
Wedge 60,,,,
SSD=120cm,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,
Depth [cm],4x4cm2,10x10cm2,15x15cm2,15x40cm2
13.4,55.5,60.650000000000006,62.975,63.849999999999994
13.5,55.1875,60.225,62.739999999999995,63.7
13.6,54.949999999999996,59.95,62.5,63.349999999999994
13.7,54.6625,59.7,62.05,63.1
13.8,54.324999999999996,59.4,61.7,62.875
13.9,54.0125,59.150000000000006,61.5,62.55
14,53.7,58.8,61.22857142857143,62.35
14.1,53.4,58.45,60.98571428571429,62.1
14.2,53.2,58.2,60.675000000000004,61.8
14.3,52.849999999999994,57.9,60.425,61.5
14.4,52.55,57.8,60.225,61.160000000000004
14.5,52.3,57.475,59.9,61
14.6,52.075,57.125,59.64,60.775
14.7,51.725,56.875,59.375,60.525
14.8,51.475,56.625,59.025,60.1625
14.9,51.225,56.4,58.78,59.824999999999996
15,50.875,56,58.55,59.575
15.1,50.6,55.7,58.3,59.34444444444444
15.2,50.379999999999995,55.55,58.075,59.2
15.3,49.9,55.2,57.725,58.925000000000004
15.4,49.75,54.86,57.475,58.65555555555556
15.5,49.4,54.6,57.225,58.516666666666666
15.6,49.266666666666666,54.375,57,58.224999999999994
15.7,49.05,54.125,56.83333333333333,57.975
15.8,48.824999999999996,54.050000000000004,56.5,57.8125
15.9,48.45,53.625,56.3,57.4625
16,48.125,53.4,56,57.125
16.1,47.975,53.25,55.8,56.888888888888886
16.2,47.68000000000001,53,55.6,56.65
16.3,47.42857142857142,52.650000000000006,55.349999999999994,56.4
16.4,47.2,52.4,55.2,56.2
16.5,46.95,52.150000000000006,54.775,55.975
16.6,46.7,52,54.449999999999996,55.8
16.7,46.46666666666667,51.849999999999994,54.175000000000004,55.6
16.8,46.2,51.5,54.025,55.375
16.9,45.975,51.25,53.88,55.125
17,45.724999999999994,51,53.650000000000006,54.875
17.1,45.475,50.720000000000006,53.4,54.525
17.2,45.225,50.425,53.15,54.225
17.3,44.875,50.275,53,54.1
17.4,44.733333333333334,49.949999999999996,52.725,53.95
17.5,44.475,49.7,52.41111111111111,53.766666666666666
17.6,44.125,49.525,52.22857142857143,53.519999999999996
17.7,43.9,49.4,51.96666666666667,53.25
17.8,43.7,48.9,51.575,53.025
17.9,43.475,48.625,51.324999999999996,52.75
18,43.239999999999995,48.5,51.2,52.425
18.1,43,48.25,51.1,52.275
18.2,42.8,48.1,50.8,52.1
18.3,42.55,47.875,50.56666666666667,51.9
18.4,42.4,47.575,50.375,51.650000000000006
18.5,42.150000000000006,47.324999999999996,50.125,51.38
18.6,41.925,47.075,49.8,51.150000000000006
18.7,41.675000000000004,46.8,49.625,50.9
18.8,41.425,46.575,49.375,50.714285714285715
18.9,41.1,46.425,49.125,50.57777777777778
19,40.925,46.1,49,50.325
19.1,40.7,45.95,48.824999999999996,50.019999999999996
19.2,40.46666666666667,45.7,48.5,49.83333333333333
19.3,40.27142857142857,45.5,48.3,49.6
19.4,40.042857142857144,45.239999999999995,48,49.3
19.5,39.88,45.1,47.733333333333334,49.1
19.6,39.63333333333333,44.9,47.46666666666666,48.9
19.7,39.387499999999996,44.7,47.339999999999996,48.725
19.8,39.262499999999996,44.475,47.12222222222222,48.525
19.9,39.1,44.225,46.96,48.33333333333333
20,38.839999999999996,44,46.75,48.2
20.1,38.5,43.824999999999996,46.4875,47.849999999999994
20.2,38.275,43.6,46.31428571428572,47.7
20.3,38.150000000000006,43.375,46.05,47.4
20.4,37.949999999999996,43.125,45.824999999999996,47.2
20.5,37.8,42.86666666666667,45.7,47
20.6,37.575,42.725,45.5,46.8
20.7,37.41111111111111,42.5,45.324999999999996,46.55
20.8,37.175000000000004,42.375,45.1,46.324999999999996
20.9,36.925,42.125,44.975,46.2
21,36.675000000000004,41.875,44.8,46.025
21.1,36.5125,41.583333333333336,44.550000000000004,45.875
21.2,36.28,41.42857142857142,44.25,45.7
21.3,36.1,41.2,44.1,45.5
21.4,36,41.05,43.9,45.31999999999999
21.5,35.849999999999994,40.9,43.8,45.05
21.6,35.7,40.650000000000006,43.650000000000006,44.8
21.7,35.45,40.5,43.3,44.660000000000004
21.8,35.3,40.25,43.175000000000004,44.425
21.9,35.175000000000004,40.019999999999996,42.925,44.2875
22,34.925,39.875,42.675000000000004,44.125
22.1,34.7,39.7,42.525,43.9375
22.2,34.525,39.5,42.375,43.8125
22.3,34.4,39.375,42.2,43.4875
22.4,34.3,39.2,41.9,43.3625
22.5,34,39,41.7,43.13333333333333
22.6,33.75,38.75,41.5,42.925
22.7,33.5,38.5,41.25,42.75
22.8,33.349999999999994,38.349999999999994,41.05,42.6
22.9,33.22,38.2,40.9,42.275
23,33,37.9,40.8,42.125
23.1,32.9,37.8,40.575,41.975
23.2,32.775,37.55,40.4,41.8
23.3,32.525,37.425,40.2,41.675000000000004
23.4,32.3,37.275,39.949999999999996,41.425
23.5,32.2,37.125,39.775,41.2
23.6,32.028571428571425,36.875,39.6,41.04
23.7,31.9,36.625,39.4,40.9
23.8,31.775000000000002,36.5,39.25,40.75
23.9,31.5625,36.33333333333333,39.1,40.6
24,31.4375,36.18000000000001,38.9,40.349999999999994
24.1,31.224999999999998,36,38.75,40.3
24.2,31.080000000000002,35.775000000000006,38.6,40.1
24.3,30.9,35.612500000000004,38.4,39.824999999999996
24.4,30.7,35.5,38.2,39.6
24.5,30.55,35.3,38,39.5
24.6,30.4,35.150000000000006,37.849999999999994,39.275
24.7,30.166666666666668,34.839999999999996,37.7,39.1
24.8,30.1,34.675000000000004,37.45,38.96666666666667
24.9,30,34.525,37.3,38.9
25,29.8,34.4,37.1,38.650000000000006
25.1,29.625,34.3,36.95,38.5
25.2,29.4,34.075,36.74285714285715,38.25
25.3,29.224999999999998,34,36.6,38.125
25.4,29.1,33.775,36.44285714285714,37.88333333333333
25.5,29,33.6,36.27142857142857,37.675000000000004
25.6,28.8,33.5,36.05,37.5125
25.7,28.625000000000004,33.3,35.974999999999994,37.46
25.8,28.5,33.150000000000006,35.825,37.322222222222216
25.9,28.35,32.925000000000004,35.6,37.1
26,28.125000000000004,32.8,35.5,36.875
26.1,28,32.7,35.25,36.7
26.2,27.88333333333333,32.474999999999994,35.1,36.525
26.3,27.675000000000004,32.2,34.9,36.4
26.4,27.512500000000003,32.13333333333334,34.8,36.275
26.5,27.5,32,34.6,36.1
26.6,27.342857142857145,31.9,34.5,35.9
26.7,27.137500000000003,31.674999999999997,34.3,35.8
26.8,27,31.525000000000006,34.12500000000001,35.62500000000001
26.9,26.9,31.4,33.96666666666666,35.474999999999994
27,26.7,31.187499999999996,33.849999999999994,35.4
27.1,26.6,31.0625,33.68888888888889,35.2
27.2,26.4,30.875000000000004,33.550000000000004,35
27.3,26.3,30.712500000000002,33.349999999999994,34.8
27.4,26.25,30.574999999999996,33.225,34.666666666666664
27.5,26.1,30.4,33.1,34.5
27.6,25.9,30.3,32.875,34.425000000000004
27.7,25.8,30.15,32.75,34.2
27.8,25.6,30,32.55,34.1
27.9,25.42,29.85,32.45,33.9
28,25.4,29.7,32.3,33.787499999999994
28.1,25.275000000000002,29.6,32.2,33.7
28.2,25.133333333333333,29.45,32.025000000000006,33.474999999999994
28.3,24.933333333333334,29.266666666666662,31.9,33.3
28.4,24.8,29.15,31.75,33.25
28.5,24.7,29.025000000000006,31.5,33.125
28.6,24.6,28.874999999999996,31.4,32.95
28.7,24.5,28.7,31.3,32.83333333333333
28.8,24.4,28.574999999999996,31.1,32.7
28.9,24.233333333333338,28.4,31,32.55
29,24.1,28.3,30.874999999999996,32.4
29.1,24,28.16666666666666,30.7,32.25
29.2,23.8,28,30.6,32.1
29.3,23.7,28,30.4,31.974999999999994
29.4,23.6,27.8,30.3,31.8
29.5,23.474999999999994,27.7,30.15,31.6
29.6,23.3,27.5,30,31.45
29.7,23.2,27.45,29.9,31.3
29.8,23.1,27.3,29.725000000000005,31.174999999999997
29.9,22.96666666666666,27.142857142857146,29.583333333333332,31.025000000000006
30,22.8,26.974999999999994,29.474999999999994,30.879999999999995
