Percentage Depth Doses,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization Chamber,,,,,,,,
Detector offset of -1.8mm (0.6*rcav) applied,,,,,,,,
Depth [cm],3x3cm2,4x4cm2,6x6cm2,8x8cm2,10x10cm2,20x20cm2,30x30cm2,40x40cm2
0,57.1,57.7,58.8,60.1,61.2,66.2,69.5,72
0.1,61.18,61.72,62.92,63.86666666666667,65.2125,69.975,73.1,75.5
0.2,67.7,67.9,69.1,70.4,71.275,75.39999999999999,78.35,80.9
0.3,76.83333333333333,77,77.95,78.9,79.4,82.5,84.8,87.02499999999999
0.4,83.6,84.2,84.7,84.7,85.66,88.19999999999999,89.75,91.2
0.5,88.9,89.1,89.43333333333334,89.625,90.075,92.2,93.25,94.4
0.6,92.375,92.60000000000001,92.82,93.04285714285714,93.35,94.9,95.6,96.26666666666667
0.7,95.1,95.1,95.25,95.4,95.6,96.65,97.31666666666666,97.8
0.8,96.925,96.9,96.95,97.16,97.25,98.0375,98.4,98.75
0.9,98.175,98.2,98.2,98.3,98.4,98.975,99.17999999999999,99.35
1,99,99.03333333333333,99.02499999999999,99.15,99.225,99.55,99.7,99.76666666666667
1.1,99.65,99.69999999999999,99.64999999999999,99.7,99.725,99.9,99.94285714285715,100
1.2,99.9,99.9,99.96666666666667,100,99.96000000000001,100,100,100
1.3,100,100,100,100,100,100,100,100
1.4,100,100,100,100,100,99.95714285714286,99.925,99.9
1.5,99.775,99.84,99.875,99.85000000000001,99.875,99.85,99.7,99.69999999999999
1.6,99.525,99.625,99.7,99.61999999999999,99.7,99.5,99.55,99.45
1.7,99.16,99.2625,99.36,99.35000000000001,99.4,99.25,99.3,99.23333333333333
1.8,98.75,98.8875,99.05,99.025,99.05,98.95,98.95,98.86
1.9,98.28,98.45,98.6,98.58,98.6,98.6,98.61999999999999,98.55
2,97.8,97.95,98.23333333333333,98.25,98.25,98.24,98.23333333333333,98.175
