Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=2.4cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-28.4,,,,,,,,1.1
-28.3,,,,,,,,1.1
-28.2,,,,,,,,1.1
-28.1,,,,,,,,1.1
-28,,,,,,,,1.1600000000000024
-27.9,,,,,,,,1.2
-27.8,,,,,,,,1.2
-27.7,,,,,,,,1.2
-27.6,,,,,,,,1.2
-27.5,,,,,,,,1.2
-27.4,,,,,,,,1.2
-27.3,,,,,,,,1.2600000000000022
-27.2,,,,,,,,1.3
-27.1,,,,,,,,1.3
-27,,,,,,,,1.3
-26.9,,,,,,,,1.3
-26.8,,,,,,,,1.3
-26.7,,,,,,,,1.3600000000000023
-26.6,,,,,,,,1.4
-26.5,,,,,,,,1.4
-26.4,,,,,,,,1.4
-26.3,,,,,,,,1.4
-26.2,,,,,,,,1.4600000000000022
-26.1,,,,,,,,1.5
-26,,,,,,,,1.5
-25.9,,,,,,,,1.5
-25.8,,,,,,,,1.5
-25.7,,,,,,,,1.5600000000000023
-25.6,,,,,,,,1.6
-25.5,,,,,,,,1.6
-25.4,,,,,,,,1.6
-25.3,,,,,,,,1.6599999999999995
-25.2,,,,,,,,1.7
-25.1,,,,,,,,1.7
-25,,,,,,,,1.7
-24.9,,,,,,,,1.7599999999999993
-24.8,,,,,,,,1.8
-24.7,,,,,,,,1.8
-24.6,,,,,,,,1.8599999999999994
-24.5,,,,,,,,1.9
-24.4,,,,,,,,1.9
-24.3,,,,,,,,1.9599999999999993
-24.2,,,,,,,,2
-24.1,,,,,,,,2
-24,,,,,,,,2.0599999999999996
-23.9,,,,,,,,2.1
-23.8,,,,,,,,2.1
-23.7,,,,,,,,2.1599999999999997
-23.6,,,,,,,,2.2
-23.5,,,,,,,,2.2599999999999993
-23.4,,,,,,,,2.3
-23.3,,,,,,,,2.3
-23.2,,,,,,,,2.3599999999999994
-23.1,,,,,,,,2.4
-23,,,,,,,,2.4599999999999995
-22.9,,,,,,,,2.5599999999999996
-22.8,,,,,,,,2.6
-22.7,,,,,,,,2.6599999999999997
-22.6,,,,,,,,2.7
-22.5,,,,,,,,2.7599999999999993
-22.4,,,,,,,,2.8599999999999994
-22.3,,,,,,,,2.9
-22.2,,,,,,,,2.9599999999999995
-22.1,,,,,,,,3.0599999999999996
-22,,,,,,,,3.1599999999999997
-21.9,,,,,,,,3.2599999999999993
-21.8,,,,,,,,3.3599999999999994
-21.7,,,,,,,,3.5199999999999987
-21.6,,,,,,,,3.719999999999999
-21.5,,,,,,,,3.9199999999999986
-21.4,,,,,,,,4.119999999999999
-21.3,,,,,,,,4.439999999999998
-21.2,,,,,,,,4.899999999999997
-21.1,,,,,,,,5.519999999999996
-21,,,,,,,,6.399999999999994
-20.9,,,,,,,,7.759999999999991
-20.8,,,,,,,,9.899999999999986
-20.7,,,,,,,,12.939999999999982
-20.6,,,,,,,,16.63999999999998
-20.5,,,,,,,,20.779999999999976
-20.4,,,,,,,,25.019999999999975
-20.3,,,,,,,1.8,28.97999999999998
-20.2,,,,,,,1.8,32.41999999999998
-20.1,,,,,,,1.8,35.07999999999999
-20,,,,,,,1.9,36.83999999999999
-19.9,,,,,,,1.9,37.99999999999999
-19.8,,,,,,,1.9,38.76
-19.7,,,,,,,1.9600000000000022,39.3
-19.6,,,,,,,2,39.739999999999995
-19.5,,,,,,,2,40.13999999999999
-19.4,,,,,,,2,40.48
-19.3,,,,,,,2.1,40.78
-19.2,,,,,,,2.1,41.019999999999996
-19.1,,,,,,,2.1,41.28
-19,,,,,,,2.2,41.519999999999996
-18.9,,,,,,,2.2,41.78
-18.8,,,,,,,2.2600000000000025,42.019999999999996
-18.7,,,,,,,2.3,42.22
-18.6,,,,,,,2.360000000000002,42.419999999999995
-18.5,,,,,,,2.4,42.62
-18.4,,,,,,,2.4,42.82
-18.3,,,,,,,2.5,43.019999999999996
-18.2,,,,,,,2.5,43.22
-18.1,,,,,,,2.5600000000000023,43.419999999999995
-18,,,,,,,2.6,43.62
-17.9,,,,,,,2.7,43.82
-17.8,,,,,,,2.7,44.019999999999996
-17.7,,,,,,,2.8,44.22
-17.6,,,,,,,2.860000000000002,44.48
-17.5,,,,,,,2.9,44.72
-17.4,,,,,,,3,44.919999999999995
-17.3,,,,,,,3.0600000000000023,45.12
-17.2,,,,,,,3.1600000000000024,45.32
-17.1,,,,,,,3.2,45.519999999999996
-17,,,,,,,3.3,45.72
-16.9,,,,,,,3.4,45.919999999999995
-16.8,,,,,,,3.5,46.12
-16.7,,,,,,,3.6600000000000024,46.32
-16.6,,,,,,,3.7600000000000025,46.58
-16.5,,,,,,,3.960000000000002,46.76
-16.4,,,,,,,4.160000000000002,46.98
-16.3,,,,,,,4.460000000000003,47.22
-16.2,,,,,,,4.820000000000005,47.419999999999995
-16.1,,,,,,,5.2800000000000065,47.62
-16,,,,,,,5.880000000000007,47.82
-15.9,,,,,,,6.800000000000011,48.08
-15.8,,,,,,,8.24000000000002,48.26
-15.7,,,,,,,10.540000000000031,48.48
-15.6,,,,,,,14.000000000000046,48.72
-15.5,,,,,,,18.380000000000052,48.919999999999995
-15.4,,,,,,,23.420000000000062,49.12
-15.3,,,,,,,28.720000000000063,49.38
-15.2,,,,,,1.6,33.800000000000054,49.62
-15.1,,,,,,1.6,38.46000000000005,49.82
-15,,,,,,1.6,42.06000000000004,50.019999999999996
-14.9,,,,,,1.6399999999999977,44.60000000000002,50.28
