Lateral Profiles,,,,,,,,
Open field,,,,,,,,
SSD=100cm,,,,,,,,
Depth=10cm,,,,,,,,
Scanning direction: Crossline,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,
,Dose[%],,,,,,,
Off axis position [cm],Field Size: 3x3 cm2,Field Size: 4x4 cm2,Field Size: 6x6 cm2,Field Size: 8x8 cm2,Field Size: 10x10 cm2,Field Size: 20x20 cm2,Field Size: 30x30 cm2,Field Size: 40x40 cm2
-29.8,,,,,,,,1.8
-29.7,,,,,,,,1.9
-29.6,,,,,,,,1.9
-29.5,,,,,,,,1.9
-29.4,,,,,,,,1.9
-29.3,,,,,,,,2
-29.2,,,,,,,,2
-29.1,,,,,,,,2
-29,,,,,,,,2
-28.9,,,,,,,,2.1
-28.8,,,,,,,,2.1
-28.7,,,,,,,,2.1
-28.6,,,,,,,,2.2
-28.5,,,,,,,,2.2
-28.4,,,,,,,,2.2
-28.3,,,,,,,,2.2
-28.2,,,,,,,,2.3
-28.1,,,,,,,,2.3
-28,,,,,,,,2.3
-27.9,,,,,,,,2.3
-27.8,,,,,,,,2.4
-27.7,,,,,,,,2.4
-27.6,,,,,,,,2.5
-27.5,,,,,,,,2.5
-27.4,,,,,,,,2.5
-27.3,,,,,,,,2.6
-27.2,,,,,,,,2.6
-27.1,,,,,,,,2.6
-27,,,,,,,,2.7
-26.9,,,,,,,,2.7
-26.8,,,,,,,,2.7
-26.7,,,,,,,,2.8
-26.6,,,,,,,,2.8
-26.5,,,,,,,,2.9
-26.4,,,,,,,,2.9
-26.3,,,,,,,,3
-26.2,,,,,,,,3
-26.1,,,,,,,,3.1
-26,,,,,,,,3.1
-25.9,,,,,,,,3.2
-25.8,,,,,,,,3.2
-25.7,,,,,,,,3.3
-25.6,,,,,,,,3.3
-25.5,,,,,,,,3.4
-25.4,,,,,,,,3.5
-25.3,,,,,,,,3.5
-25.2,,,,,,,,3.6
-25.1,,,,,,,,3.6
-25,,,,,,,,3.7
-24.9,,,,,,,,3.8
-24.8,,,,,,,,3.9
-24.7,,,,,,,,3.9
-24.6,,,,,,,,4
-24.5,,,,,,,,4.1
-24.4,,,,,,,,4.2
-24.3,,,,,,,,4.3
-24.2,,,,,,,,4.4
-24.1,,,,,,,,4.5
-24,,,,,,,,4.6
-23.9,,,,,,,,4.7
-23.8,,,,,,,,4.8
-23.7,,,,,,,,4.9
-23.6,,,,,,,,5
-23.5,,,,,,,,5.2
-23.4,,,,,,,,5.3
-23.3,,,,,,,,5.5
-23.2,,,,,,,,5.7
-23.1,,,,,,,,5.9
-23,,,,,,,,6.2
-22.9,,,,,,,,6.5
-22.8,,,,,,,,6.9
-22.7,,,,,,,,7.4
-22.6,,,,,,,,8
-22.5,,,,,,,,9
-22.4,,,,,,,,10.3
-22.3,,,,,,,,12.4
-22.2,,,,,,,,15
-22.1,,,,,,,,18.3
-22,,,,,,,,21.7
-21.9,,,,,,,,25.3
-21.8,,,,,,,,28.5
-21.7,,,,,,,,31.3
-21.6,,,,,,,,33.4
-21.5,,,,,,,,34.9
-21.4,,,,,,,2.9199999999999986,35.9
-21.3,,,,,,,3,36.7
-21.2,,,,,,,3,37.3
-21.1,,,,,,,3.1,37.8
-21,,,,,,,3.1,38.2
-20.9,,,,,,,3.2,38.5
-20.8,,,,,,,3.2,38.9
-20.7,,,,,,,3.3,39.2
-20.6,,,,,,,3.3199999999999985,39.5
-20.5,,,,,,,3.4,39.8
-20.4,,,,,,,3.5,40.1
-20.3,,,,,,,3.5,40.3
-20.2,,,,,,,3.6,40.6
-20.1,,,,,,,3.6199999999999988,40.8
-20,,,,,,,3.719999999999999,41.1
-19.9,,,,,,,3.8,41.3
-19.8,,,,,,,3.8199999999999985,41.5
-19.7,,,,,,,3.9199999999999986,41.8
-19.6,,,,,,,4.019999999999999,42
-19.5,,,,,,,4.1,42.3
-19.4,,,,,,,4.2,42.5
-19.3,,,,,,,4.3,42.7
-19.2,,,,,,,4.3199999999999985,42.9
-19.1,,,,,,,4.419999999999999,43.1
-19,,,,,,,4.519999999999999,43.4
-18.9,,,,,,,4.619999999999998,43.6
-18.8,,,,,,,4.719999999999999,43.8
-18.7,,,,,,,4.8199999999999985,44
-18.6,,,,,,,4.919999999999999,44.2
-18.5,,,,,,,5.1,44.5
-18.4,,,,,,,5.2,44.7
-18.3,,,,,,,5.3199999999999985,44.9
-18.2,,,,,,,5.5,45.1
-18.1,,,,,,,5.619999999999998,45.4
-18,,,,,,,5.8199999999999985,45.6
-17.9,,,,,,,6,45.8
-17.8,,,,,,,6.139999999999997,46
-17.7,,,,,,,6.419999999999999,46.2
-17.6,,,,,,,6.639999999999997,46.4
-17.5,,,,,,,7.019999999999999,46.6
-17.4,,,,,,,7.439999999999998,46.9
-17.3,,,,,,,7.859999999999997,47.1
-17.2,,,,,,,8.479999999999995,47.3
-17.1,,,,,,,9.299999999999994,47.5
-17,,,,,,,10.539999999999992,47.7
-16.9,,,,,,,12.239999999999986,48
-16.8,,,,,,,14.799999999999983,48.2
-16.7,,,,,,,18.079999999999977,48.4
-16.6,,,,,,,22.119999999999976,48.7
-16.5,,,,,,,26.339999999999975,48.9
-16.4,,,,,,,30.739999999999977,49.1
-16.3,,,,,,,34.77999999999998,49.3
-16.2,,,,,,,38.29999999999998,49.5
-16.1,,,,,,,41.039999999999985,49.8
-16,,,,,,2.7,43.05999999999999,50
-15.9,,,,,,2.8,44.41999999999999,50.2
-15.8,,,,,,2.8,45.39999999999999,50.4
-15.7,,,,,,2.9,46.26,50.7
-15.6,,,,,,2.9,46.959999999999994,50.9
-15.5,,,,,,3,47.459999999999994,51.1
-15.4,,,,,,3.1,47.959999999999994,51.3
-15.3,,,,,,3.1,48.44,51.6
-15.2,,,,,,3.1,48.839999999999996,51.9
-15.1,,,,,,3.2,49.31999999999999,52.1
-15,,,,,,3.3,49.64,52.3
-14.9,,,,,,3.4,50.04,52.5
-14.8,,,,,,3.4,50.339999999999996,52.8
-14.7,,,,,,3.5,50.72,53
-14.6,,,,,,3.6,51.019999999999996,53.3
-14.5,,,,,,3.6,51.339999999999996,53.5
-14.4,,,,,,3.7,51.64,53.8
-14.3,,,,,,3.8,52.019999999999996,54
-14.2,,,,,,3.9,52.31999999999999,54.2
-14.1,,,,,,4,52.62,54.5
-14,,,,,,4.1,52.94,54.7
-13.9,,,,,,4.1,53.22,55
-13.8,,,,,,4.2,53.519999999999996,55.3
-13.7,,,,,,4.3,53.81999999999999,55.5
-13.6,,,,,,4.4,54.04,55.8
-13.5,,,,,,4.5,54.419999999999995,56
-13.4,,,,,,4.6,54.72,56.3
-13.3,,,,,,4.8,55.019999999999996,56.5
-13.2,,,,,,4.9,55.31999999999999,56.8
-13.1,,,,,,5,55.62,57
-13,,,,,,5.2,55.919999999999995,57.3
-12.9,,,,,,5.3,56.22,57.6
-12.8,,,,,,5.5,56.54,57.8
-12.7,,,,,,5.7,56.81999999999999,58.1
-12.6,,,,,,5.8,57.12,58.4
-12.5,,,,,,6,57.339999999999996,58.7
-12.4,,,,,,6.3,57.74,58.9
-12.3,,,,,,6.5,58.019999999999996,59.2
-12.2,,,,,,6.8,58.339999999999996,59.5
-12.1,,,,,,7.2,58.62,59.7
-12,,,,,,7.6,58.919999999999995,60
-11.9,,,,,,8.1,59.24,60.3
-11.8,,,,,,8.7,59.519999999999996,60.6
-11.7,,,,,,9.4,59.81999999999999,60.8
-11.6,,,,,,10.5,60.14,61.2
-11.5,,,,,,12,60.44,61.4
-11.4,,,,,,14.2,60.81999999999999,61.8
-11.3,,,,,,17.5,61.04,62
-11.2,,,,,,22,61.419999999999995,62.3
-11.1,,,,,,27.5,61.72,62.6
-11,,,,,,33.5,62.019999999999996,62.9
-10.9,,,,,,39.4,62.339999999999996,63.2
-10.8,,,,,,45.1,62.64,63.5
-10.7,,,,,,49.6,62.94,63.8
-10.6,,,,,,53.1,63.31999999999999,64.1
-10.5,,,,,,55.5,63.64,64.4
-10.4,,,,,1.980000000000001,57.2,63.919999999999995,64.7
-10.3,,,,,2,58.4,64.24,65
-10.2,,,,,2,59.5,64.53999999999999,65.3
-10.1,,,,,2.1,60.3,64.92,65.6
-10,,,,,2.1,61,65.24,65.9
-9.9,,,,,2.2,61.7,65.61999999999999,66.2
-9.8,,,,,2.2,62.3,65.86,66.6
-9.7,,,,,2.3,62.9,66.24,66.9
-9.6,,,,,2.3,63.4,66.53999999999999,67.2
-9.5,,,,,2.4,64,66.92,67.5
-9.4,,,,,2.4800000000000013,64.5,67.24,67.9
-9.3,,,,1.6,2.5,64.9,67.61999999999999,68.2
-9.2,,,,1.7,2.5800000000000014,65.4,67.94,68.5
-9.1,,,,1.7,2.6,65.8,68.32,68.8
-9,,,,1.7,2.7,66.3,68.63999999999999,69.2
-8.9,,,,1.8,2.780000000000001,66.8,68.94,69.5
-8.8,,,,1.8,2.8,67.3,69.42,69.9
-8.7,,,,1.9,2.9,67.7,69.72,70.2
-8.6,,,,1.9,3,68.2,70.03999999999999,70.5
-8.5,,,,1.980000000000001,3.1,68.6,70.44,70.9
-8.4,,,,2,3.2,69,70.74,71.2
-8.3,,,,2.0800000000000014,3.280000000000001,69.5,71.13999999999999,71.6
-8.2,,,1.2599999999999993,2.1,3.3800000000000012,69.8,71.53999999999999,71.9
-8.1,,,1.3,2.2,3.4800000000000013,70.3,71.92,72.3
-8,,,1.3,2.280000000000001,3.5800000000000014,70.7,72.24,72.7
-7.9,,,1.3599999999999994,2.3,3.7,71.1,72.56,73
-7.8,,,1.4,2.3800000000000012,3.8800000000000012,71.5,72.94,73.4
-7.7,,,1.4,2.4,3.9800000000000013,72,73.33999999999999,73.7
-7.6,,,1.4599999999999993,2.5,4.080000000000001,72.4,73.72,74.1
-7.5,,,1.5,2.6,4.280000000000001,72.8,74.06,74.5
-7.4,,,1.5,2.6800000000000015,4.480000000000001,73.2,74.53999999999999,74.9
-7.3,,,1.6,2.780000000000001,4.6,73.6,74.83999999999999,75.2
-7.2,,,1.6,2.8,4.860000000000003,74,75.24,75.6
-7.1,,0.8800000000000012,1.6599999999999995,2.9,5.080000000000001,74.5,75.63999999999999,75.9
-7,,0.9,1.7,3,5.280000000000001,74.9,76.03999999999999,76.3
-6.9,,0.9,1.8,3.1800000000000015,5.580000000000001,75.3,76.42,76.7
-6.8,,0.9,1.8,3.280000000000001,5.860000000000003,75.7,76.74,77.1
-6.7,,0.9,1.9,3.3800000000000012,6.1800000000000015,76.2,77.16,77.5
-6.6,0.6,0.9800000000000011,1.9,3.5,6.660000000000003,76.6,77.53999999999999,77.9
-6.5,0.6199999999999989,1,2,3.6800000000000015,7.140000000000003,77,77.94,78.3
-6.4,0.7,1,2.1,3.78,7.740000000000003,77.5,78.33999999999999,78.7
-6.3,0.7,1,2.1,3.9799999999999995,8.519999999999998,77.9,78.66,79.1
-6.2,0.7,1.1,2.2,4.1,9.499999999999998,78.3,79.14,79.5
-6.1,0.7,1.1,2.3,4.279999999999999,10.839999999999998,78.7,79.54,79.9
-6,0.7,1.1,2.3599999999999994,4.56,12.599999999999998,79.2,79.96000000000001,80.3
-5.9,0.7200000000000003,1.2,2.4599999999999995,4.779999999999999,15.459999999999996,79.6,80.34,80.7
-5.8,0.8,1.2,2.5599999999999996,5.06,19.71999999999999,80.1,80.82,81
-5.7,0.8,1.2,2.6599999999999997,5.359999999999999,25.83999999999999,80.5,81.14,81.5
-5.6,0.8,1.3,2.7599999999999993,5.759999999999999,33.29999999999999,80.9,81.54,81.8
-5.5,0.8,1.3,2.8599999999999994,6.159999999999999,41.55999999999999,81.4,81.96000000000001,82.2
-5.4,0.9,1.3799999999999997,2.9599999999999995,6.64,49.97999999999999,81.8,82.44,82.6
-5.3,0.9,1.4,3.1,7.319999999999999,57.91999999999999,82.3,82.84,83.1
-5.2,0.9,1.5,3.2599999999999993,8.119999999999997,64.85999999999999,82.7,83.26,83.5
