Output factors,,,,,,,,,,
Open field,,,,,,,,,,
SSD=95cm,,,,,,,,,,
Depth=5cm,,,,,,,,,,
Detector: IBA Dosimetry CC13 Ionization chamber,,,,,,,,,,
,,Field size X [cm],,,,,,,,
Field Size Y [cm],,3,4.0,5.0,7.0,10.0,15.0,20.0,30.0,40.0
,3.0,0.921,0.932,0.937,0.943,0.946,0.95,0.951,0.952,0.952
,4.0,0.934,0.947,0.954,0.961,0.965,0.969,0.97,0.972,0.972
,5.0,0.94,0.955,0.962,0.97,0.976,0.98,0.982,0.983,0.984
,7.0,0.948,0.963,0.972,0.982,0.989,0.994,0.997,0.999,1.0
,10.0,0.953,0.97,0.98,0.991,1.0,1.007,1.011,1.014,1.014
,15.0,0.956,0.975,0.985,0.998,1.008,1.018,1.022,1.026,1.028
,20.0,0.958,0.977,0.988,1.002,1.013,1.023,1.029,1.034,1.035
,30.0,0.961,0.98,0.992,1.006,1.018,1.029,1.037,1.043,1.045
,40.0,0.962,0.982,0.993,1.008,1.02,1.032,1.04,1.047,1.048
